; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.003707,294.14042,263.465523,0.000353,0.009172,0.009481,0.000279,0.050838,557.680256,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.003471,295.585574,263.754695,0.000344,0.009288,0.009827,0.00033,0.006356,559.370412,4800,0,4800,5.1153987958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.003623,295.310153,264.567231,0.000391,0.008356,0.011465,0.000247,0.006696,559.908634,4800,0,4800,5.3700015424e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.00436,294.471461,264.821734,0.000372,0.008379,0.011525,0.000614,0.005844,559.324829,4800,0,4800,5.6628859663e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.014236,294.463098,263.93202,0.000381,0.009741,0.010327,0.000255,0.00668,558.437249,4800,0,4800,5.5800997776e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.004335,295.783746,266.305857,0.000357,0.00923,0.010102,0.000291,0.005692,562.120138,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.004167,296.483548,264.488189,0.000468,0.008648,0.010905,0.000312,0.040912,561.037765,4800,0,4800,5.5502550565e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.003583,295.629766,264.234947,0.000455,0.010137,0.009558,0.000303,0.021194,559.910427,4800,0,4800,5.5502550565e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.004148,296.753436,263.471871,0.000392,0.010513,0.010393,0.000296,0.006321,560.257898,4800,0,4800,5.1153987958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.004363,295.859844,263.667454,0.000352,0.00981,0.01056,0.000423,0.007958,559.561254,4800,0,4800,5.3319497724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.003683,297.303881,264.041359,0.000379,0.009559,0.010653,0.000388,0.007396,561.377726,4800,0,4800,5.5473227317e-17,0
