; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161975,"CurrentTimeLocal","Tue Sep 15 11:26:15 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.003706,44.242442,45.376873,0.739384,1.913456,1.989121,0.499802,0.223641,94.988899,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.003678,44.38161,45.338324,0.750337,1.856799,1.989305,0.503492,0.22166,95.045674,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.003623,44.310602,45.655406,0.744388,1.862734,2.042999,0.509743,0.221721,95.351671,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.003602,44.367668,45.365822,0.742053,1.863321,2.040569,0.519531,0.227667,95.130681,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.003857,44.340273,45.379802,0.741673,1.857332,2.048056,0.502709,0.222031,95.096143,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.003648,44.330025,45.362542,0.74116,1.852034,2.015737,0.497654,0.228862,95.032136,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.003597,44.353119,45.347108,0.750953,1.850036,2.032781,0.504388,0.231526,95.073969,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.009953,7.977841,7.886518,0.994325,1.371682,0.191321,0.289954,0.30324,19.025437,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.008162,9.17608,8.697199,0.743233,0.310966,0.210547,0.262189,0.1518,19.560674,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.003555,9.089266,8.65294,0.283645,0.313222,0.174583,0.25233,0.150508,18.920466,2041200,0,2025000,1.2852379761e-16,0
