; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.7e-05
; "Time_ContextDestroy [ms]", 4.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.003624,297.156113,267.746515,0.000309,0.009197,0.010517,0.000299,0.007276,564.963679,4800,0,4800,5.1153987958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.003543,297.636855,268.647916,0.000354,0.01494,0.009347,0.000365,0.007567,566.350148,4800,0,4800,5.2254872588e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.003665,297.467776,264.482277,0.000318,0.009553,0.010341,0.000285,0.007302,562.01466,4800,0,4800,5.1153987958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.003764,296.64483,267.284139,0.000321,0.008907,0.010995,0.000331,0.006785,563.989084,4800,0,4800,5.1153987958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.003545,296.730961,264.814119,0.000399,0.008783,0.010442,0.000441,0.006654,561.604141,4800,0,4800,5.4353524221e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.003635,296.896068,265.558545,0.000355,0.009694,0.010326,0.000241,0.006854,562.514759,4800,0,4800,5.2254872588e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.003521,297.630412,266.131857,0.000349,0.010273,0.010432,0.000385,0.005761,563.822226,4800,0,4800,5.2254872588e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.003647,300.34708,265.36356,0.000325,0.008891,0.010717,0.000297,0.007612,565.776097,4800,0,4800,5.5800997776e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.0036,297.747164,266.858386,0.000351,0.009509,0.011325,0.000433,0.006623,564.666368,4800,0,4800,5.6140218011e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.003701,296.433557,267.175421,0.000357,0.008857,0.010871,0.000344,0.00786,563.670154,4800,0,4800,6.467187005e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.003674,295.630281,265.887038,0.000313,0.00943,0.010337,0.000398,0.006606,561.577643,4800,0,4800,5.1153987958e-17,0
