; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",1040531456,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536577323,"CurrentTimeLocal","Mon Sep 10 14:02:03 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.002875
; "Time_ContextDestroy [ms]", 0.003542
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,45,"FFT data exceeds physical memory. 662405<3127704 (bytes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,45,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.001667,1.551076,0.832266,0.001167,0.001375,0.001083,0.000833,0.004333,2.404258,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.001125,1.545285,0.833265,0.001375,0.001208,0.001125,0.000833,0.004125,2.398841,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.001583,1.475703,0.833307,0.000958,0.001125,0.001042,0.001,0.003667,2.32801,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.00125,1.457788,0.833724,0.001416,0.001167,0.001041,0.001041,0.004333,2.312511,32,0,32,0,0
