; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404345503744,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147952,"CurrentTimeLocal","Mon Apr  6 06:39:12 2020","Hostname","csk013.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.8e-05
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000161,18.807612,17.939567,0.000124,0.019985,0.019451,0.000191,0.009278,36.79701,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000135,18.205721,17.867011,9.8e-05,0.0215,0.02123,8.4e-05,0.007558,36.124003,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000146,18.442015,17.765813,9.3e-05,0.023548,0.023026,8.8e-05,0.008484,36.263598,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000131,18.403338,17.72983,8.8e-05,0.02055,0.022005,0.000138,0.006521,36.183222,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000146,18.369937,18.540609,9.7e-05,0.020634,0.02021,0.000133,0.009437,36.961811,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000129,18.224328,17.569736,0.000114,0.019529,0.023172,8.5e-05,0.007305,35.844875,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000149,18.73726,18.037547,0.000113,0.021264,0.019989,0.000104,0.006939,36.823856,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000143,18.380259,17.830582,9.4e-05,0.019223,0.022003,8.2e-05,0.006729,36.259565,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000127,18.317935,17.77561,8.5e-05,0.019758,0.019982,0.000215,0.009522,36.143779,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000133,19.133739,18.780277,0.000109,0.020637,0.022183,0.000105,0.007441,37.965114,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.00013,20.40763,17.667521,9.2e-05,0.020438,0.021266,8.9e-05,0.007378,38.124913,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000135,18.525386,17.921431,8.9e-05,0.023168,0.019962,8.8e-05,0.00864,36.49934,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000158,22.55092,22.223657,0.000135,0.04251,0.041714,0.000426,0.010016,44.869995,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000142,22.487328,22.184219,0.000143,0.044665,0.04402,0.000482,0.0121,44.77371,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000151,24.112459,22.576749,0.000146,0.043283,0.041831,0.000311,0.017215,46.792502,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000127,22.666385,22.364757,0.000152,0.055686,0.04212,0.000295,0.011503,45.141573,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000107,23.155404,22.239307,0.000153,0.043153,0.043147,0.00017,0.014019,45.49613,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000123,22.4069,22.317249,0.000185,0.042576,0.042629,0.000203,0.019141,44.829816,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.000133,22.779786,22.424171,0.000155,0.043944,0.040446,0.000113,0.015745,45.305367,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.000136,22.613297,22.160978,0.000177,0.039567,0.043495,0.00023,0.013051,44.871382,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000149,30.936171,22.328395,0.000159,0.042779,0.046447,0.000193,0.014097,53.369109,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000166,22.478905,22.335253,0.000178,0.04334,0.042241,0.000191,0.01852,44.919534,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000152,22.50553,22.100774,0.000142,0.040896,0.044262,0.000195,0.014191,44.706843,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000134,22.395118,22.64825,0.000158,0.041709,0.042415,0.000229,0.012407,45.140936,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.000186,53.502212,57.543328,0.000378,4.622861,0.045797,0.000336,0.017121,115.732581,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000149,61.759122,59.938616,0.000222,0.048809,0.042086,0.000269,0.021168,121.810973,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000146,130.566131,58.486119,0.000218,0.043815,0.044768,0.000259,0.02005,189.162148,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000149,131.66721,58.937423,0.000223,0.043582,0.04628,0.000291,0.01917,190.715275,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000142,60.944486,127.509545,8.7e-05,0.043583,0.063264,0.000261,0.018941,188.580812,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000139,63.636448,104.995786,0.000544,0.042081,0.04462,0.000203,0.029243,168.749969,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000134,29.106327,28.679601,0.000197,0.045178,0.043205,0.000216,0.017782,57.89327,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000135,28.69715,28.819748,0.000212,0.044128,0.045828,0.000294,0.025672,57.633746,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000147,28.797619,29.219691,0.000221,0.046429,0.046319,0.000204,0.020162,58.131457,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000127,31.027633,28.300169,0.000218,0.04455,0.063274,0.000241,0.015825,59.452722,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.00015,28.74963,28.408645,0.000226,0.046275,0.04409,0.000294,0.017526,57.267392,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000124,28.909585,28.726124,0.000213,0.047134,0.044749,0.000359,0.023588,57.752254,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.00027,35.975815,35.903954,0.000262,0.051787,0.047837,0.000524,0.033422,72.014496,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.000217,36.158683,35.582241,0.000257,0.051005,0.051683,0.000371,0.030426,71.875498,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.000222,35.473754,36.049382,0.000308,0.048887,0.0459,0.000258,0.029629,71.649056,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.000209,35.459414,35.126981,0.000353,0.048696,0.047641,0.000315,0.031013,70.715588,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.000237,36.205327,35.392652,0.000373,0.047669,0.047835,0.000242,0.025746,71.72063,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000232,36.332678,34.891585,0.000229,0.050982,0.047106,0.00114,0.030037,71.354359,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000227,37.784654,35.912655,0.00039,0.052034,0.051769,0.000349,0.03044,73.832949,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000241,35.888157,35.70274,0.000273,0.052188,0.048846,0.000227,0.030037,71.723343,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.000225,36.046356,35.87555,0.000303,0.050615,0.048932,0.000594,0.036241,72.0593,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.000229,35.47845,35.828038,0.000236,0.050936,0.047768,0.000498,0.037325,71.444272,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.000279,36.018896,36.105348,0.000452,0.050741,0.052591,0.000261,0.034296,72.263355,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.000219,36.040576,36.521344,0.000386,0.050808,0.05074,0.00182,0.033976,72.700304,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.000249,30.99362,30.904212,0.000292,0.052738,0.050948,0.000395,0.044417,62.047486,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.000227,30.988914,31.978634,0.000616,0.053113,0.05033,0.000606,0.04758,63.12095,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.00024,30.897113,33.396967,0.00046,0.055603,0.049444,0.000672,0.043734,64.445034,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.000224,32.337996,40.052134,0.000379,0.049471,0.049445,0.000914,0.043772,72.534946,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.000284,30.876633,35.17541,0.00047,0.052451,0.066295,0.000494,0.043432,66.216457,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.000235,30.915742,30.574064,0.000623,0.051227,0.050722,0.002609,0.061983,61.657733,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.000248,32.47189,31.979804,0.000664,0.052393,0.04983,0.001564,0.044994,64.601832,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Success",0.000231,32.38713,30.695153,0.00066,0.052738,0.052441,0.000798,0.043276,63.233121,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,8,5,"Success",0.000225,30.933276,30.868243,0.000535,0.053743,0.05499,0.000613,0.0435,61.955724,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,9,5,"Success",0.000222,32.377384,30.524265,0.000278,0.050932,0.050075,0.00083,0.042539,63.047171,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,10,5,"Success",0.000232,32.203559,32.165454,0.000551,0.063953,0.051942,0.000891,0.044308,64.5315,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,11,5,"Success",0.000221,30.975841,30.334869,0.000473,0.050426,0.051007,0.000402,0.044318,61.458446,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,0,6,"Warmup",0.000252,28.51462,29.968997,0.0008,0.073138,0.063927,0.001074,0.065859,58.689213,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,1,6,"Warmup",0.000222,30.085033,28.664443,0.000573,0.061942,0.056419,0.001231,0.063555,58.933786,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,2,6,"Success",0.000235,29.934481,29.804918,0.000516,0.060172,0.061099,0.000867,0.072257,59.934983,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,3,6,"Success",0.000239,29.905056,29.847515,0.000653,0.060667,0.06499,0.001594,0.088525,59.96973,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,4,6,"Success",0.000218,29.871812,29.884181,0.000711,0.061366,0.058336,0.000924,0.062251,59.940246,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,5,6,"Success",0.000203,29.954983,29.769453,0.000511,0.062228,0.060586,0.001163,0.066366,59.915986,4096,0,4096,0,0
