; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404351811584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586917742,"CurrentTimeLocal","Wed Apr 15 04:29:02 2020","Hostname","csk064.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.5e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.000755,3612.973039,3452.279249,4.895637,11.094728,11.031247,4.105727,0.392337,7096.774057,19808792,0,19808792,1.2876313814e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.000318,3808.010394,3481.000904,6.40925,16.131476,11.181524,4.266277,0.429558,7327.430844,19808792,0,19808792,1.2867119511e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.000445,3632.238223,3456.411414,4.954947,11.290343,10.975948,4.262265,0.464112,7120.603494,19808792,0,19808792,1.2887653157e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.000327,3622.483529,3453.776893,4.962163,11.218004,10.994954,4.246251,0.424098,7108.107308,19808792,0,19808792,1.2876313814e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.000473,3627.35108,3455.677815,4.973288,11.210087,11.033834,4.260274,0.387023,7114.89543,19808792,0,19808792,1.2876313814e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.000449,3633.642677,3466.781946,4.930234,11.207768,11.024599,4.31627,0.40956,7132.31463,19808792,0,19808792,1.2887653157e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.00045,3613.006597,3458.404632,4.99545,11.243615,10.93276,4.304673,0.421951,7103.311064,19808792,0,19808792,1.2743573898e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.000435,3630.379787,3591.414544,4.97313,11.272853,10.849087,4.276066,0.421437,7253.588358,19808792,0,19808792,1.2876313814e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.000389,3634.237442,3463.978729,4.993886,11.176978,10.999517,4.330624,0.409391,7130.128184,19808792,0,19808792,1.2880643594e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.000467,3665.957059,3691.202545,4.914284,11.401075,10.994945,4.305386,0.39902,7389.175857,19808792,0,19808792,1.2876313814e-07,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",9.5e-05,1.230077,1.203715,8.7e-05,5e-05,0.000186,8.7e-05,0.000549,2.435179,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000126,1.18527,1.193225,6.4e-05,6.3e-05,5.9e-05,5.3e-05,0.000508,2.379722,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000104,1.222963,1.227943,5.4e-05,7.4e-05,4.7e-05,9.2e-05,0.00055,2.452194,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",9.1e-05,1.220281,1.187501,5.9e-05,7e-05,6.5e-05,5.4e-05,0.000536,2.409015,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000102,1.203101,1.220842,4e-05,6.4e-05,0.000175,8.2e-05,0.000528,2.425257,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000147,1.212997,1.185871,7.9e-05,0.000123,5.3e-05,4.6e-05,0.000538,2.40024,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000119,1.218061,1.217967,4.9e-05,7.4e-05,6.1e-05,7.5e-05,0.000515,2.437265,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000115,1.186122,1.162667,7.7e-05,7e-05,4e-05,4.5e-05,0.000529,2.35,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000101,1.230563,1.186813,5.5e-05,6.3e-05,5.2e-05,8.8e-05,0.000496,2.418586,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000208,1.180442,1.227675,8.8e-05,6.9e-05,6.2e-05,5.3e-05,0.000618,2.409558,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000127,1.220752,1.203483,8.1e-05,7.8e-05,5.1e-05,7.2e-05,0.000497,2.425476,32,0,32,0,0
