; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586040745,"CurrentTimeLocal","Sun Apr  5 00:52:25 2020","Hostname","csk017.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.9e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,73,"Warmup",0.006195,424.66587,111.377135,146.213015,600.133899,566.92468,83.661809,2.741964,1935.731385,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,73,"Success",0.00467,425.221813,111.652903,145.550159,523.872287,467.09822,57.239418,3.198121,1733.843154,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,73,"Success",0.00577,420.588323,112.0309,158.612069,652.04394,674.447346,51.675395,2.659246,2072.087484,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,73,"Success",0.006166,422.870213,111.68639,155.935264,655.63583,653.800958,52.083929,2.71437,2054.73526,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,5,73,"Success",0.006702,423.145978,112.429266,157.562227,606.64402,600.880484,89.080459,3.449011,1993.201495,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,6,73,"Success",0.004514,429.041157,112.590601,152.431725,440.612864,388.283369,85.014784,2.938754,1610.978204,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,7,73,"Success",0.005217,425.59146,115.972959,149.209306,612.063704,546.15009,83.936997,2.834755,1935.77288,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,8,73,"Success",0.005986,420.039327,111.515795,147.070545,558.620329,383.691609,85.332156,2.981522,1709.263786,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,9,73,"Success",0.005997,424.526329,111.455729,149.091204,528.458199,393.219106,83.470036,3.036637,1693.269235,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,10,73,"Success",0.005622,425.677327,111.732113,147.416011,607.444669,633.21959,83.784087,2.73048,2012.012393,376367048,0,376367048,1.2569938623e-07,0
