; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586036588,"CurrentTimeLocal","Sat Apr  4 23:43:08 2020","Hostname","csk004.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,11,72,"Success",0.005786,227.167308,227.143155,140.741486,706.636359,678.661159,81.282799,1.55788,2063.197503,376367048,0,376367048,1.2680302788e-07,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,0,0,"Warmup",6.8e-05,0.070309,0.06702,5.2e-05,0.031435,0.03408,0.000135,0.003478,0.207068,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,1,0,"Warmup",6.5e-05,0.070116,0.067167,4.1e-05,0.031695,0.032058,0.000214,0.005146,0.207129,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,2,0,"Success",6.3e-05,0.097447,0.06741,3.9e-05,0.030602,0.032633,5.9e-05,0.003435,0.232471,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,3,0,"Success",6.5e-05,0.070562,0.067163,3.5e-05,0.0323,0.031287,0.000156,0.003833,0.205915,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,4,0,"Success",6.4e-05,0.070486,0.067186,4.6e-05,0.051441,0.033718,6.5e-05,0.00361,0.227452,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,5,0,"Success",9.2e-05,0.070279,0.067471,4.5e-05,0.030495,0.032215,0.00025,0.004677,0.205969,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,6,0,"Success",6.6e-05,0.07098,0.067198,5.9e-05,0.030475,0.032326,0.000202,0.003632,0.205667,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,7,0,"Success",6.6e-05,0.071196,0.067421,6.3e-05,0.030322,0.031382,0.000209,0.004771,0.20593,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,8,0,"Success",6.7e-05,0.070416,0.067244,8.5e-05,0.031793,0.03163,6.5e-05,0.003964,0.20632,32,0,32,0,0
