; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529504822,"CurrentTimeLocal","Wed Jun 20 16:27:02 2018","Hostname","c01n15","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00012
; "Time_ContextDestroy [ms]", 7.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000229,0.001618,0.000618,9.9e-05,0.000246,0.000178,2.7e-05,0.000878,0.004218,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000239,0.001638,0.000626,9.7e-05,0.000246,0.000178,3e-05,0.000871,0.004241,64,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000464,0.032898,0.002827,0.000198,0.316505,0.03847,0.000252,0.004908,0.396995,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000472,0.005936,0.002183,0.00018,0.013032,0.010758,0.000109,0.004048,0.037131,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000381,0.004661,0.00212,0.000107,0.012167,0.010132,0.000111,0.003904,0.033952,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000333,0.004877,0.002142,0.000158,0.013399,0.010065,0.000112,0.004621,0.036064,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000323,0.004674,0.002161,0.000135,0.012997,0.010545,0.000103,0.004182,0.035458,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000322,0.009692,0.021726,0.000139,0.012419,0.01029,0.000114,0.004024,0.059063,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000294,0.004599,0.002099,0.000134,0.012098,0.009544,0.000115,0.004743,0.033961,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000321,0.004369,0.002063,0.000134,0.012113,0.010042,0.000116,0.004844,0.034333,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000331,0.004385,0.002153,0.000136,0.012526,0.010206,0.000118,0.004242,0.034423,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000326,0.004341,0.002166,0.000131,0.011655,0.009914,0.000112,0.004661,0.03364,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000322,0.004606,0.002094,0.00013,0.012592,0.010198,0.000123,0.004211,0.034607,128,0,128,0,0
