; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 0.000248
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000178,0.015819,0.015549,0.000219,0.000656,0.000691,0.000212,0.000989,0.04538,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000178,0.015872,0.015616,0.000218,0.00067,0.000677,0.000203,0.001015,0.045547,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000178,0.015892,0.015578,0.000226,0.000665,0.0007,0.000208,0.000986,0.045515,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000178,0.015795,0.01561,0.000219,0.000664,0.000678,0.000212,0.000994,0.045421,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000177,0.01585,0.015575,0.00022,0.000663,0.000696,0.000202,0.001019,0.046914,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.00018,0.015858,0.015586,0.000218,0.00066,0.000677,0.000204,0.000987,0.045456,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000181,0.015802,0.015545,0.000217,0.000667,0.000694,0.000221,0.000987,0.045392,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000178,0.015823,0.019243,0.000219,0.000706,0.000688,0.000229,0.000999,0.049271,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000179,0.015897,0.015526,0.00022,0.000665,0.000693,0.000206,0.000986,0.045461,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000178,0.015819,0.015592,0.000222,0.000647,0.000677,0.000222,0.000986,0.04688,6400,0,6400,3.2809306694e-17,0
