; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161267,"CurrentTimeLocal","Tue Sep 15 11:14:27 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.4e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.406186,0.589484,0.723537,54.765088,11.383697,14.817,28.287216,1.220913,112.19427,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.408534,0.587197,0.725415,54.620052,11.246772,14.830601,27.921303,1.219107,111.560201,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.403434,0.567501,0.726197,54.724023,11.242719,14.75859,27.903244,1.216795,111.543755,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.398398,0.580738,0.720408,54.415818,11.204501,14.467269,27.859172,1.209862,110.857482,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.404633,0.567699,0.726371,54.466094,11.145838,14.632564,28.121343,1.225605,111.291366,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.396583,0.58888,0.726319,54.246175,11.154799,15.554616,27.899927,1.237808,111.806501,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.407746,0.586426,0.721699,55.205487,11.3167,13.622887,28.338206,1.230829,111.430995,268500992,0,134217728,2.7755576443e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.442606,1.873195,1.954965,210.497758,52.616956,57.766437,114.07548,3.449441,442.678229,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.407011,1.954529,2.058269,210.717577,52.590073,57.222016,114.200263,3.400618,442.551395,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.403482,1.657941,1.81185,206.798468,52.347752,57.151818,115.991045,3.411345,439.574769,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.411155,1.630441,1.798446,208.483572,52.353811,53.282094,116.113578,3.402124,437.475965,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.408872,1.635297,1.808105,207.565609,52.770037,55.424321,116.171211,3.380948,439.165357,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.410234,1.626007,1.802639,208.36674,52.735834,54.720587,114.237804,3.38221,437.283088,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.403393,1.652397,1.798242,207.128723,52.519826,53.627045,114.527771,3.358375,435.016445,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.397711,1.648708,1.796707,207.183221,52.881201,62.074192,114.176426,3.368741,443.52793,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.40337,1.648993,1.797216,207.665981,52.727096,54.313444,114.152459,3.366993,436.077225,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.402084,1.656372,1.798783,207.553279,52.792638,56.532945,116.082835,3.37584,440.196462,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.41018,1.632892,1.799965,208.051205,52.423624,51.93055,114.292162,3.368599,433.910537,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.40391,1.646635,1.802185,207.843115,52.451936,58.49071,115.407479,3.400941,441.449611,1073872896,0,536870912,3.3993499141e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.41312,1.532413,1.705248,206.972374,52.384385,57.998854,114.190501,3.35692,438.555793,1073872896,0,536870912,3.3993499141e-17,0
