; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.00015,0.01282,0.012651,0.000188,0.000506,0.000483,0.000172,0.00093,0.028195,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000144,0.012817,0.012573,0.000187,0.000493,0.000478,0.000169,0.000943,0.028101,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000148,0.012739,0.012616,0.000187,0.00049,0.00048,0.000163,0.000934,0.028051,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000144,0.012805,0.01254,0.000186,0.000499,0.000475,0.000174,0.000919,0.02804,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000145,0.012769,0.012587,0.000187,0.000493,0.000481,0.000162,0.000923,0.028053,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000155,0.012834,0.012576,0.000188,0.000505,0.000481,0.000166,0.00093,0.028134,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000151,0.012812,0.012618,0.000184,0.000501,0.000472,0.00018,0.000921,0.028136,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000149,0.01283,0.012665,0.000185,0.000501,0.000481,0.000174,0.000928,0.028207,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000153,0.012781,0.012563,0.000187,0.000495,0.000481,0.000181,0.000921,0.028059,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000152,0.012808,0.012643,0.000192,0.000503,0.000474,0.000179,0.000933,0.028178,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000153,0.012792,0.012618,0.000195,0.0005,0.000468,0.00017,0.000924,0.028114,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000148,0.012805,0.01254,0.000188,0.000489,0.000473,0.000151,0.000924,0.028013,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.00015,0.012758,0.012566,0.000183,0.000498,0.000477,0.000151,0.000923,0.028001,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000145,0.01278,0.012588,0.000184,0.000489,0.00048,0.000157,0.000925,0.028042,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000152,0.012794,0.012625,0.000189,0.000497,0.000478,0.000166,0.000924,0.028117,4800,0,4800,7.4492303974e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000231,0.021975,0.016807,0.000351,0.004274,0.002471,0.00027,0.001145,0.047823,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000158,0.015872,0.015555,0.000242,0.000615,0.000612,0.000241,0.000935,0.034513,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.00014,0.01568,0.015439,0.000227,0.000585,0.000566,0.000224,0.000928,0.034069,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000131,0.015693,0.015455,0.000223,0.000592,0.000558,0.000226,0.000887,0.034041,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000134,0.015717,0.015433,0.000236,0.000584,0.000559,0.000234,0.0009,0.034074,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000132,0.01573,0.01544,0.000224,0.000591,0.000562,0.000226,0.000892,0.034074,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000131,0.015709,0.015481,0.000227,0.000586,0.000556,0.000227,0.000916,0.034111,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000131,0.015771,0.015504,0.00023,0.000597,0.000553,0.000233,0.000878,0.034175,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000132,0.015736,0.015486,0.000233,0.000587,0.00056,0.000236,0.0009,0.034148,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000128,0.015697,0.015455,0.000245,0.000591,0.000557,0.000225,0.000895,0.034072,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000132,0.015708,0.015413,0.000222,0.000588,0.000555,0.000225,0.000891,0.034013,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000129,0.01566,0.015411,0.000222,0.000586,0.000557,0.000226,0.000897,0.033969,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000132,0.015649,0.015405,0.000224,0.000591,0.000553,0.00024,0.000909,0.033981,6400,0,6400,3.2809306694e-17,0
