; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363354112,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147422,"CurrentTimeLocal","Mon Apr  6 06:30:22 2020","Hostname","csk012.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,8,72,"Success",0.016438,69248.418446,70146.73019,70.881412,82.85911,80.626681,84.630069,1.713318,139715.89134,376367048,0,376367048,1.2755698105e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,9,72,"Success",0.005537,68656.280378,75179.348048,68.544641,82.546562,80.161752,83.635962,1.711889,144152.24131,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,10,72,"Success",0.005165,68799.865695,67698.190126,79.154025,82.212036,81.360741,63.322841,1.798946,136805.91644,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",6859,6859,0,11,72,"Success",0.004974,70212.309043,66063.640209,67.341621,102.462964,80.343632,86.227726,1.804024,136614.14442,376367048,0,376367048,1.275553271e-07,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,0,0,"Warmup",0.000112,10.197402,9.724877,0.000102,0.000163,8e-05,9e-05,0.000873,19.924092,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,1,0,"Warmup",0.000123,10.204931,9.823104,7.9e-05,0.000159,6.9e-05,9.4e-05,0.000954,20.029907,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,2,0,"Success",0.000129,10.232217,9.857369,9.3e-05,0.016263,0.000249,0.000114,0.001743,20.108623,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,3,0,"Success",0.000117,10.124016,9.990321,7.7e-05,0.018278,0.0001,0.000107,0.00156,20.135041,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,4,0,"Success",0.000101,10.175433,9.863593,9.4e-05,0.000154,8.1e-05,7.9e-05,0.000918,20.040842,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,5,0,"Success",9.5e-05,10.214782,9.781624,7e-05,0.000172,7.8e-05,7.8e-05,0.000999,19.998281,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,6,0,"Success",0.000106,10.316077,9.892411,8.9e-05,0.000184,8.4e-05,0.0001,0.000826,20.210257,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,7,0,"Success",0.000101,10.23881,9.855731,7.5e-05,0.000172,7.4e-05,9.6e-05,0.00086,20.096301,32,0,32,0,0
