; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404309733376,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1603178553,"CurrentTimeLocal","Tue Oct 20 09:22:33 2020","Hostname","csk097.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.5e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000209,26.158882,25.337575,0.000108,0.025132,0.02416,0.000117,0.006456,51.553151,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000197,26.24424,25.490849,0.000128,0.02424,0.023933,0.000283,0.006999,51.791324,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000206,24.273008,23.194904,0.000127,0.033147,0.025103,0.00029,0.0092,47.5365,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000198,24.416623,23.535276,0.000126,0.02512,0.024984,0.000263,0.01171,48.014695,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000196,23.747523,23.733795,0.000131,0.024012,0.025529,0.000142,0.014222,47.545958,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000191,23.765127,23.223021,0.000142,0.033083,0.025042,9e-05,0.009097,47.056199,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000186,25.466253,23.215275,0.000128,0.034079,0.025063,0.000148,0.011329,48.753005,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000193,24.40587,23.168298,0.000132,0.02651,0.026156,0.000106,0.011955,47.6396,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000206,24.259495,23.230333,0.000135,0.025679,0.025378,0.000268,0.013792,47.555677,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000178,24.156855,23.662144,0.000125,0.034619,0.023982,0.000101,0.014734,47.893142,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000186,24.336035,23.240028,0.000144,0.022988,0.023384,0.000271,0.011444,47.634889,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000202,24.265602,23.246001,0.000125,0.035868,0.023428,0.000114,0.014654,47.586491,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000163,24.219888,23.745676,0.000134,10.979509,0.027448,0.000126,0.010687,58.98406,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000245,23.965703,23.342655,0.000142,0.024562,0.024835,0.000345,0.011419,47.370356,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000217,36.779758,31.032132,0.000355,0.065319,0.051707,0.000278,0.020774,67.951396,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000192,30.755678,30.784395,0.000282,0.061087,0.052068,0.000305,0.021095,61.675752,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000196,30.577299,30.785864,0.000276,0.064391,0.05445,0.000151,0.023686,61.507211,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000188,30.413561,30.24292,0.000213,0.063457,0.051117,0.00026,0.025297,60.797676,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.00019,32.645439,30.437607,0.000147,0.066082,0.054094,0.000144,0.0187,63.223166,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000186,31.096719,31.054139,0.0003,0.066646,0.04941,0.000727,0.022023,62.290683,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.000192,30.389344,30.72207,0.00028,0.062192,0.054514,0.000176,0.020387,61.249731,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.000193,30.632968,30.297035,0.000184,0.059216,0.055488,0.00037,0.021071,61.067043,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000214,30.275647,30.460981,0.000128,0.061326,0.053859,0.000235,0.025231,60.878093,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000194,33.370534,30.947821,0.000173,0.062021,0.053682,0.000136,0.042209,64.477327,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.00019,30.705021,29.531695,0.000195,0.059257,0.051837,0.000217,0.036562,60.385877,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000187,30.189641,30.538042,0.000272,0.06211,0.049319,0.000265,0.023476,60.864111,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.00021,39.188401,39.316859,0.000354,0.081624,0.054472,0.000674,0.035603,78.678719,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000314,39.476261,41.249579,0.00038,0.083692,0.050378,0.000249,0.033475,80.894813,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000248,40.213588,38.418908,0.000194,0.082742,0.052317,0.000206,0.039754,78.808872,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000233,42.077629,39.689467,0.000389,0.084657,0.054498,0.000294,0.035416,81.943151,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000205,39.954881,40.630334,0.000195,0.087573,0.05374,0.000621,0.034575,80.762932,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000232,39.889768,38.793552,0.000358,0.086001,0.053049,0.000587,0.034095,78.858226,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000217,40.080329,40.765124,0.000286,0.085386,0.051778,0.000228,0.037163,81.020993,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000208,42.466102,38.634302,0.000278,0.081205,0.056531,0.00028,0.037566,81.27704,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000198,41.165699,40.266722,0.000269,0.084236,0.054356,0.00029,0.03859,81.610779,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000251,38.882708,40.888378,0.000402,0.075378,0.053982,0.00033,0.029105,79.931051,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000316,40.213348,41.704957,0.000292,0.078954,0.055386,0.000236,0.034199,82.088703,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.00023,38.561658,37.814708,0.000296,0.448621,0.05649,0.000331,0.030258,76.913378,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.003931,49.979134,51.187042,0.000404,0.122023,0.057628,0.000577,0.066098,101.417368,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.003883,50.527826,49.432554,0.000406,0.112722,0.057975,0.000605,0.074221,100.210851,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.003817,49.966614,51.224767,0.000485,0.105907,0.073258,0.000572,0.061481,101.43745,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.004043,52.065844,49.224453,0.000818,0.111131,0.058949,0.000853,0.065402,101.532406,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.003921,48.434749,50.830148,0.000413,0.106626,0.055454,0.000429,0.062171,99.494403,1024,0,1024,0,0
