; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733455,"CurrentTimeLocal","Thu Sep 10 12:24:15 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000116
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000314,106.156974,104.104523,0.000387,0.00617,0.006542,0.000567,0.00624,210.282098,6400,0,6400,3.8957734519e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.00023,106.094037,104.221995,0.000383,0.006537,0.006814,0.00058,0.006588,210.337541,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000227,106.245817,110.911954,0.000348,0.006311,0.005878,0.000639,0.007181,217.178727,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000244,106.321724,104.211433,0.000449,0.006262,0.006679,0.000604,0.006781,210.554555,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000312,106.205535,104.133863,0.000399,0.006253,0.007045,0.000621,0.006443,210.360841,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.00023,107.156246,103.46263,0.00034,0.006529,0.007454,0.000598,0.006795,210.641205,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000256,107.235874,104.044905,0.000351,0.00689,0.006656,0.000577,0.007443,211.303333,6400,0,6400,2.0728844309e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000231,106.029057,107.323916,0.000361,0.006195,0.006242,0.000593,0.006874,213.373843,6400,0,6400,3.5680545915e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000224,106.381642,104.060559,0.000312,0.006484,0.006533,0.000598,0.007621,210.464349,6400,0,6400,2.4468890636e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000332,106.258042,104.206804,0.000383,0.006715,0.006081,0.000662,0.007209,210.486595,6400,0,6400,2.1370182264e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000244,106.377736,104.36173,0.000431,0.006521,0.006967,0.000607,0.007582,210.762187,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000203,106.067105,104.455723,0.000378,0.006994,0.00658,0.000601,0.007477,210.545428,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000285,106.033698,104.154456,0.000342,0.006783,0.006191,0.000593,0.006757,210.209465,6400,0,6400,1.7300875261e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000231,106.083041,103.915601,0.000348,0.00593,0.00579,0.00058,0.006407,210.018303,6400,0,6400,3.8957734519e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000305,106.383434,104.294895,0.000346,0.00683,0.006433,0.000585,0.006668,210.699869,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000198,64.614323,65.044523,0.000307,0.007162,0.008472,0.000701,0.005337,129.681406,8000,0,8000,5.4315595314e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000211,64.957237,63.996884,0.000316,0.00698,0.007822,0.000773,0.005917,128.976518,8000,0,8000,5.6303357492e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000223,64.693561,63.911965,0.000315,0.007626,0.007914,0.000693,0.005574,128.628249,8000,0,8000,5.6303357492e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000243,64.879997,63.988474,0.00031,0.007773,0.00723,0.000768,0.005607,128.890771,8000,0,8000,4.9892348562e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000244,64.571605,63.569665,0.000318,0.006992,0.00763,0.000668,0.005867,128.163353,8000,0,8000,4.9892348562e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000223,64.490124,63.756049,0.000326,0.007516,0.007513,0.000708,0.005533,128.268355,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000295,66.303108,63.822626,0.000414,0.007645,0.007062,0.000754,0.005496,130.14778,8000,0,8000,5.3599707364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000229,66.304351,63.770199,0.000308,0.007021,0.007961,0.000611,0.005262,130.096299,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000258,64.999032,63.790594,0.000319,0.007484,0.007273,0.000577,0.005706,128.81162,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000255,64.733377,63.724938,0.000341,0.007363,0.00824,0.000748,0.005996,128.481634,8000,0,8000,5.6303357492e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000248,64.786326,65.461464,0.000322,0.007871,0.007402,0.000689,0.005434,130.270129,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000163,64.935108,63.851582,0.000327,0.008125,0.007386,0.000709,0.006133,128.809917,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000157,65.244761,63.918888,0.000316,0.006982,0.007664,0.000627,0.005426,129.185171,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000338,64.900083,65.297087,0.000314,0.007263,0.00715,0.000703,0.005469,130.218783,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000246,64.915157,65.245181,0.000356,0.007199,0.007984,0.000724,0.005054,130.182292,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000213,64.872019,63.615701,0.000364,0.007421,0.00734,0.000746,0.006129,128.510302,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000266,64.760265,63.595801,0.00035,0.006996,0.007658,0.000712,0.004882,128.377325,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.000217,64.833757,63.381967,0.000304,0.007312,0.007916,0.000272,0.005634,128.23774,8000,0,8000,4.8912017524e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000232,64.68188,63.581596,0.000342,0.006779,0.007713,0.000648,0.005437,128.285013,8000,0,8000,4.9892348562e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.00022,64.91595,63.928087,0.000311,0.007627,0.007072,0.000691,0.005865,128.866191,8000,0,8000,4.9474881695e-17,0
