; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168240,"CurrentTimeLocal","Tue Sep 15 13:10:40 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00042
; "Time_ContextDestroy [ms]", 0.00046
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.01398,0.276622,0.224201,0.558283,1.562228,3.664258,0.256401,0.361582,6.921575,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.0142,0.250981,0.215461,0.551143,1.555208,3.186096,0.258101,0.336522,6.371692,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.01436,0.243942,0.211221,0.549602,0.500583,2.684613,0.256622,0.343021,4.807745,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.0138,0.239501,0.209301,0.551043,0.462522,2.712314,0.257881,0.341242,4.791564,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.01378,0.241022,0.212561,0.559722,0.480523,2.687553,0.258862,0.337681,4.795624,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.01424,0.241361,0.211761,0.557163,0.462402,2.725314,0.258001,0.337162,4.811484,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.01408,0.240222,0.208301,0.559103,0.463222,2.697713,0.256302,0.341281,4.784104,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.01406,0.245101,0.211341,0.563743,0.516783,2.673833,0.257401,0.346682,4.832824,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.013981,0.247481,0.209841,0.563383,0.479262,2.667053,0.258802,0.333761,4.777384,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.0139,0.243821,0.209081,0.559263,0.476922,2.696614,0.258281,0.341022,4.802624,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.013861,0.243701,0.210861,0.555543,0.464402,2.744154,0.257281,0.339802,4.833685,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.01418,0.243141,0.210161,0.555383,0.455243,2.691973,0.257641,0.338082,4.769704,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.0138,0.241982,0.211061,0.558323,0.468582,2.677593,0.258962,0.339041,4.773764,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.01428,0.245682,0.210581,0.559822,0.464123,2.656873,0.257001,0.347482,4.759564,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.0137,0.243061,0.210621,0.564843,0.468162,2.650153,0.258402,0.336021,4.748743,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.01382,0.240481,0.210001,0.558983,0.488942,2.698494,0.257941,0.341682,4.814324,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.013881,0.243961,0.210501,0.562203,0.478682,2.661353,0.257282,0.345041,4.776704,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.01398,0.242001,0.208921,0.564983,0.482682,2.676174,0.258041,0.338082,4.788644,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.01352,0.243022,0.209301,0.559022,0.457443,2.691973,0.260882,0.335201,4.774384,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.014,109.377729,156.428106,0.761863,0.533503,3.504458,0.336981,0.314082,271.274982,2612288,0,2593080,3.9843041146e-16,0
