; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168228,"CurrentTimeLocal","Tue Sep 15 13:10:28 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00042
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.0011,0.581723,0.583482,0.00088,0.00492,0.004121,0.0007,0.00226,1.182566,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.0011,0.585963,0.583823,0.00088,0.00502,0.00416,0.0007,0.0023,1.187386,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.00108,0.582463,0.582483,0.00088,0.00496,0.00416,0.0007,0.00222,1.182346,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.0011,0.582663,0.581963,0.00088,0.005,0.00414,0.0007,0.0022,1.182026,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.0011,0.586223,0.581103,0.00086,0.00498,0.00416,0.0007,0.00224,1.184786,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.00112,0.587183,0.582963,0.00086,0.00502,0.00418,0.0007,0.00226,1.187646,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.001101,0.603563,0.587422,0.0009,0.005161,0.00418,0.0007,0.00228,1.208767,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.00108,0.586783,0.583463,0.00086,0.00498,0.00412,0.0007,0.00226,1.187706,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.00114,0.587703,0.581763,0.00088,0.005,0.00416,0.00068,0.00218,1.186946,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.00116,0.581963,0.583983,0.00086,0.005,0.00412,0.0007,0.0023,1.183486,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.0011,0.586643,0.581603,0.00086,0.005,0.00414,0.0007,0.0023,1.185746,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.00108,0.585863,0.584863,0.00088,0.00502,0.00416,0.0007,0.00224,1.188246,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.00114,0.583403,0.588242,0.00086,0.005061,0.00418,0.00072,0.00224,1.189246,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.00114,0.583003,0.582483,0.00086,0.00494,0.00416,0.0007,0.00218,1.182886,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.0008,0.838724,0.823884,0.00134,0.0071,0.0056,0.00082,0.00236,1.684028,6400,0,6400,2.4905607828e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.0013,0.708524,0.716543,0.0011,0.0064,0.00542,0.00082,0.00226,1.445788,6400,0,6400,2.4905607828e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.00136,0.711063,0.713944,0.00106,0.00636,0.00544,0.0008,0.00212,1.445587,6400,0,6400,2.4905607828e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.00124,0.705344,0.713043,0.00104,0.00626,0.00532,0.00082,0.002181,1.438668,6400,0,6400,2.4905607828e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.00134,0.705723,0.711344,0.00102,0.00624,0.00538,0.0008,0.00216,1.437427,6400,0,6400,2.4905607828e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.0012,0.703144,0.711023,0.00102,0.00634,0.00536,0.00082,0.00212,1.434447,6400,0,6400,2.4905607828e-17,0
