; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533795733,"CurrentTimeLocal","Thu Aug  9 09:22:13 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000189
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,9,4,"Success",0.006684,301.020084,156.684603,0.063033,1.560141,1.57035,0.030824,0.006052,460.942784,546816,0,546816,8.7408802681e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,10,4,"Success",0.007285,300.744408,156.121509,0.06144,1.487211,1.504958,0.029319,0.006051,459.96283,546816,0,546816,8.7408802681e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,11,4,"Success",0.00654,299.824529,155.509694,0.063224,1.479928,1.620064,0.032136,0.008219,458.545233,546816,0,546816,8.7408802681e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,0,2,"Warmup",0.017917,451.905696,362.985217,0.308741,9.914369,9.725731,0.285235,0.016368,835.160437,2097144,0,2097144,1.0848657569e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,1,2,"Warmup",0.011864,447.306418,362.99695,0.298775,10.253854,9.774356,0.297382,0.019477,830.960851,2097144,0,2097144,1.1119657822e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,2,2,"Success",0.010089,446.398186,366.491576,0.205503,10.028517,9.769276,0.30323,0.018288,833.225755,2097144,0,2097144,1.1119657822e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,3,2,"Success",0.011391,449.883822,370.094089,0.348696,10.035799,10.019081,0.286281,0.015356,840.695882,2097144,0,2097144,1.0768595489e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,4,2,"Success",0.010363,443.961475,361.230741,0.30738,9.521385,9.891714,0.298607,0.017369,825.240546,2097144,0,2097144,1.1119657822e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,5,2,"Success",0.010709,454.074681,364.363046,0.304266,10.111481,10.084603,0.295872,0.014729,839.260508,2097144,0,2097144,1.0767458734e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,6,2,"Success",0.011031,447.764053,364.928299,0.304123,10.478896,10.449614,0.211345,0.019001,834.167568,2097144,0,2097144,1.0767458734e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,7,2,"Success",0.009789,450.341253,366.820363,0.297146,10.333275,9.864467,0.290607,0.015206,837.973294,2097144,0,2097144,1.0767458734e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,8,2,"Success",0.0101,445.571657,361.272767,0.387655,9.685305,9.725246,0.287298,0.015567,826.956812,2097144,0,2097144,1.1119657822e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,9,2,"Success",0.011277,449.562887,364.391627,0.303794,9.768898,9.761631,0.286405,0.017963,834.105759,2097144,0,2097144,1.0767458734e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,10,2,"Success",0.01112,444.651809,360.10462,0.300317,9.607097,9.589693,0.369639,0.02487,824.66039,2097144,0,2097144,1.1119657822e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,11,2,"Success",0.01175,449.783959,364.372252,0.30017,9.806549,9.966148,0.284775,0.016614,834.543569,2097144,0,2097144,1.0767458734e-07,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,0,0,"Warmup",0.005953,152.908089,153.918055,0.025724,0.738609,0.766568,0.008874,0.002987,308.375695,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,1,0,"Warmup",0.005544,151.756647,155.558475,0.02373,0.839382,0.733746,0.008923,0.003763,308.930991,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,2,0,"Success",0.005572,151.65614,155.510674,0.024821,0.738863,0.766117,0.0085,0.003308,308.714949,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,3,0,"Success",0.005607,152.947531,153.54503,0.022652,0.738883,0.736818,0.008417,0.00363,308.009469,215760,0,215760,7.7447171073e-08,0
