; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533888122,"CurrentTimeLocal","Fri Aug 10 11:02:02 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000407
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000146,0.680131,0.455825,0.000139,9.2e-05,3.7e-05,3.5e-05,0.000344,1.137066,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000163,0.678554,0.462922,0.000126,0.000142,3.6e-05,3.9e-05,0.00037,1.142658,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000175,0.675539,0.460816,0.000125,0.000119,4.4e-05,4.7e-05,0.000342,1.137525,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000178,0.683905,0.46068,0.000137,0.00015,3.8e-05,4.6e-05,0.000345,1.145802,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000162,0.680175,0.455774,0.000127,0.000115,4.6e-05,2.7e-05,0.000373,1.137121,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000179,0.679385,0.455357,0.000134,0.000116,3.8e-05,4.4e-05,0.000355,1.13591,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000271,0.830756,0.554089,0.000127,0.000165,7.6e-05,5.3e-05,0.000429,1.386368,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000433,0.783242,0.630962,0.000129,0.00018,7.6e-05,4.6e-05,0.000426,1.415831,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000373,0.84902,0.644686,0.000128,0.000206,6.8e-05,4.1e-05,0.000504,1.495378,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000392,0.829589,0.554242,0.00015,0.000162,5.6e-05,3.6e-05,0.000426,1.385381,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000363,0.775261,0.556465,0.000128,0.000151,6.6e-05,3.7e-05,0.000385,1.333165,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000426,0.84283,0.568452,0.000131,0.000111,7.7e-05,4.7e-05,0.000406,1.412798,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000485,0.819998,0.597416,0.000127,0.000163,7.6e-05,4.6e-05,0.000543,1.419185,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000465,1.72,1.153646,0.000144,0.000173,6.6e-05,4.1e-05,0.000371,2.875239,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000394,0.789347,0.551956,0.00015,0.000172,6e-05,3.9e-05,0.000369,1.342807,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000381,0.781494,0.55513,0.000138,0.00016,6.4e-05,4.5e-05,0.000391,1.338116,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000385,0.77993,0.551224,0.000138,0.000122,6e-05,5.6e-05,0.000346,1.332575,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000379,0.780142,0.587504,0.00011,0.000158,5.9e-05,2.7e-05,0.000371,1.369068,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000371,0.779718,0.56886,0.000132,0.000214,0.000124,5.3e-05,0.000514,1.350384,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.001867,0.765605,0.539845,0.000135,0.000206,0.000105,5.5e-05,0.000481,1.308635,128,0,128,0,0
