; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16714620928,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534969249,"CurrentTimeLocal","Wed Aug 22 23:20:49 2018","Hostname","mikihir","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000147
; "Time_ContextDestroy [ms]", 6.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",9.5e-05,7.724029,6.983232,8.2e-05,0.000291,0.000189,6.9e-05,0.000573,14.709002,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",7.4e-05,7.808895,7.10694,9.8e-05,0.000282,0.000217,7.6e-05,0.000572,14.917633,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",8e-05,7.836838,7.152444,0.000111,0.000287,0.000213,6.5e-05,0.0006,14.991125,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",7.1e-05,7.749428,6.886397,9.1e-05,0.000295,0.000186,8.1e-05,0.000931,14.637952,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",7.9e-05,7.681169,6.990237,9.5e-05,0.000292,0.000244,6.2e-05,0.000873,14.673506,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",6.9e-05,7.7377,7.042567,8.8e-05,0.000294,0.000192,5.7e-05,0.00061,14.782051,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",7.7e-05,7.723023,7.124447,8.7e-05,0.000279,0.000182,6.8e-05,0.000654,14.849278,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",8.5e-05,7.823051,7.10473,9.9e-05,0.000289,0.000177,5.8e-05,0.000601,14.929546,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",7.6e-05,7.70542,7.05172,8.5e-05,0.000294,0.000207,6.5e-05,0.000585,14.758906,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",6.9e-05,7.747724,7.050888,7.9e-05,0.000288,0.000191,7.4e-05,0.000588,14.800352,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",7e-05,7.69761,7.0249,7.7e-05,0.000272,0.000192,6.2e-05,0.000621,14.724241,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000106,13.233312,11.630321,0.000105,0.000457,0.000296,0.000111,0.001211,24.866398,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",8.9e-05,12.931847,11.545633,9.7e-05,0.000475,0.000245,9.5e-05,0.001195,24.480156,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",7.1e-05,12.934164,11.606195,0.000106,0.000436,0.000295,0.00011,0.001226,24.543075,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",8.9e-05,13.259535,11.639103,0.000119,0.000461,0.000321,0.000102,0.001125,24.901318,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",8.7e-05,12.860405,11.873102,0.000101,0.000469,0.000302,0.000107,0.001162,24.736212,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",8.2e-05,13.047362,11.610905,0.000104,0.000493,0.000245,9.7e-05,0.001219,24.66096,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",7.7e-05,13.111691,11.550481,0.000102,0.000491,0.000334,9.9e-05,0.001226,24.664977,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",8.3e-05,13.018609,11.545309,9.3e-05,0.000408,0.000302,9.9e-05,0.001202,24.566569,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",7.9e-05,12.967059,11.58557,0.00011,0.000439,0.000306,0.000107,0.001226,24.555377,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",7.3e-05,12.999729,11.70601,0.000113,0.000435,0.00031,0.000103,0.00119,24.708429,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",8.1e-05,12.993382,11.561524,0.000109,0.000427,0.000281,9.7e-05,0.00124,24.557602,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",8.4e-05,12.990395,11.567873,0.000102,0.00045,0.000303,9.3e-05,0.001214,24.560974,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.000111,24.469782,21.873083,0.000134,0.000713,0.000464,0.000123,0.001298,46.346201,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",9.9e-05,24.173691,22.001258,0.000126,0.000668,0.000396,0.000138,0.001252,46.178092,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",8.2e-05,24.265624,21.807432,0.000136,0.00067,0.000488,0.000114,0.001324,46.076351,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",8.2e-05,24.391927,21.806313,0.000136,0.000649,0.000516,0.000116,0.001332,46.201554,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.000104,24.266146,21.822242,0.000149,0.000705,0.000492,0.000112,0.001342,46.091765,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.000102,24.527115,21.949717,0.000173,0.000687,0.000507,0.000109,0.001391,46.480267,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",8.3e-05,24.341754,21.84454,0.00016,0.000788,0.000486,0.000125,0.001373,46.189774,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,7,5,"Success",8.3e-05,24.468284,22.04228,0.00016,0.000751,0.000494,9.3e-05,0.001306,46.513946,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,8,5,"Success",7.8e-05,24.40747,21.85484,0.000125,0.000694,0.000484,0.000112,0.001353,46.26561,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,9,5,"Success",8.2e-05,24.445471,21.942645,0.000144,0.00067,0.000512,0.000101,0.001297,46.391404,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,10,5,"Success",8.4e-05,24.137818,21.864494,0.00014,0.000651,0.00043,0.000119,0.001289,46.005505,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,11,5,"Success",8e-05,24.320226,22.039862,0.000151,0.000733,0.000463,0.000118,0.001377,46.363498,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,0,6,"Warmup",0.000269,34.041569,30.437678,0.000181,0.001113,0.000805,0.000175,0.001425,64.483708,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,1,6,"Warmup",0.004476,34.024737,30.524845,0.000184,0.000953,0.00083,0.000168,0.001489,64.558216,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,2,6,"Success",0.000147,33.966492,30.454598,0.000182,0.001103,0.000832,0.00017,0.001451,64.425506,2048,0,2048,0,0
