; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473653,"CurrentTimeLocal","Mon Sep  7 12:14:13 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000141
; "Time_ContextDestroy [ms]", 0.000214
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,12,3,"Success",0.014721,10.855887,9.849852,294.792696,916.408449,924.918322,153.013672,19.904579,2329.759757,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,13,3,"Success",0.015201,10.816098,9.852658,294.788973,915.252927,922.527305,152.661427,18.593383,2324.510124,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,14,3,"Success",0.014787,10.859821,9.841125,294.869547,914.786121,925.964838,152.885849,18.512317,2327.736441,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,15,3,"Success",0.014767,10.817568,9.832442,294.727483,915.704613,926.366749,153.422785,19.491636,2330.380143,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,16,3,"Success",0.016743,10.902452,9.863015,295.656587,915.903585,925.24783,152.886731,18.671136,2329.150001,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,17,3,"Success",0.013745,10.84817,9.83623,294.791638,917.563004,925.458228,152.783563,18.464623,2329.761105,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,18,3,"Success",0.014326,10.829345,9.839717,294.749376,915.989987,926.254877,152.85298,18.548575,2329.080995,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,19,3,"Success",0.021367,10.805429,9.829745,295.09183,916.070697,926.950109,152.949123,18.626012,2330.345712,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,0,4,"Success",0.014277,9.927814,8.411671,1178.404144,2920.125162,2990.610108,610.723791,78.352725,7796.571691,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,1,4,"Success",0.013955,9.911133,8.378361,1178.459782,2936.62158,2986.449195,611.253251,78.130484,7809.219398,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,2,4,"Success",0.01456,9.928197,8.390414,1178.48031,2917.396623,2999.035569,610.867336,78.596001,7802.711011,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,3,4,"Success",0.014732,9.9383,8.38231,1178.445215,2919.370207,2991.909024,611.08463,72.86947,7792.015763,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,4,4,"Success",0.014941,9.949137,8.439789,1178.913752,2916.009131,2986.731351,610.323812,72.814064,7783.197909,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,5,4,"Success",0.015197,9.928247,8.385991,1178.935433,2928.401288,2992.750847,612.27582,72.71778,7803.41236,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,6,4,"Success",0.018097,9.930239,8.402597,1182.201118,2921.441335,2993.762368,609.658619,72.694017,7798.110341,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,7,4,"Success",0.01971,14.451056,11.685967,1290.841408,2908.728809,2988.00128,610.686057,72.926831,7897.343545,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,8,4,"Success",0.015232,9.926966,8.393259,1178.694168,2914.969715,2992.825698,611.102157,76.412571,7792.341505,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,9,4,"Success",0.015974,9.935298,8.387953,1178.71834,2913.286783,3013.292421,611.350338,77.945984,7812.934895,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,10,4,"Success",0.014693,9.944626,8.381194,1178.765591,2909.383708,2992.776208,611.013994,78.505664,7788.787343,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,11,4,"Success",0.016873,9.91331,8.390476,1178.372592,2924.994859,2990.364845,610.983895,78.070009,7801.108712,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,12,4,"Success",0.014738,9.899992,8.395537,1178.661673,2934.010372,2991.805992,613.009489,78.659193,7814.459523,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,13,4,"Success",0.022077,9.977705,8.43294,1181.448924,2908.420061,2979.054647,611.142337,78.019098,7776.520496,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,14,4,"Success",0.01581,9.907432,8.387408,1178.374222,2908.275742,2987.962631,611.042682,78.640671,7782.608445,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,15,4,"Success",0.014566,9.935045,8.391415,1178.414823,2923.348761,2988.705642,611.328118,74.511221,7794.651841,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,16,4,"Success",0.015581,9.952119,8.3818,1178.881397,2910.579603,2989.155166,611.250261,73.378499,7781.596245,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,17,4,"Success",0.015351,9.948379,8.391788,1178.783332,2904.532215,2988.879304,611.360568,72.926354,7774.839039,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,18,4,"Success",0.016495,9.89051,8.351402,1228.681981,2913.891992,2985.032262,610.334359,73.063734,7829.264454,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,19,4,"Success",0.016531,9.938894,8.368743,1179.037253,2912.708684,2989.002086,610.489775,72.92404,7782.4877,17180393472,0,8589934592,0,0
