; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600167725,"CurrentTimeLocal","Tue Sep 15 13:02:05 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00044
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.05504,5.622708,4.850965,173.935619,298.878991,305.379003,82.303776,8.980406,880.012308,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.0552,5.583968,4.869485,166.121319,299.254833,305.647685,82.224535,9.052246,872.814931,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.053021,5.594668,4.864585,166.398681,286.063925,295.044292,82.275916,8.996985,849.298093,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.05258,5.616088,4.825705,166.143599,297.888646,304.6165,82.363596,8.847785,870.359819,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.051861,5.613408,4.838944,166.05424,285.228881,294.000166,82.315376,8.933565,847.042701,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.0536,5.619869,4.829964,167.644327,297.899526,305.214082,83.744824,8.908825,873.920657,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.05382,5.620849,4.829484,172.282431,299.370473,306.63537,82.282196,8.905045,879.986288,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.055801,5.623148,4.817265,712.821002,299.385473,307.982917,81.496492,9.566348,1421.754246,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.05142,5.605669,4.824124,166.532142,298.602389,307.190972,81.903654,10.357852,875.074242,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.055,5.575948,4.847545,174.575562,296.92408,306.881191,85.243531,10.493013,884.60213,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.05462,5.606809,4.816804,173.945979,287.207571,294.545989,85.249731,10.509033,861.942556,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.05388,5.560828,4.887925,173.835178,299.100132,304.917321,81.046589,10.326573,879.734206,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.05314,5.594408,4.808865,166.26914,297.615084,304.978121,81.04957,10.341132,870.71594,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.0536,5.570768,4.850365,167.203325,284.794199,294.317187,81.13279,10.332553,848.260647,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.0531,6.537413,5.346867,781.596789,1849.970189,1206.221515,345.664426,7.180237,4202.575416,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.054301,6.537253,5.388967,649.367061,2894.205244,1214.585576,313.670225,9.92419,5093.738137,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.05052,6.589494,5.390727,573.407617,1469.121943,1213.749732,309.869765,10.072591,3588.257689,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.04862,6.557554,5.347547,568.602872,1464.860381,1209.269149,308.035476,10.085691,3572.81343,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.0497,6.556733,5.386428,571.346866,1440.560617,1185.82159,312.536019,10.130271,3532.393024,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.04954,6.581373,5.350767,568.822514,1438.008444,1185.90585,305.669124,10.128491,3520.521503,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,6,3,"Success",0.05016,6.557053,5.353707,568.02039,1455.929514,1207.85488,306.72499,9.829949,3560.326043,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,7,3,"Success",0.049861,6.513353,5.369627,567.511866,1466.954309,1206.919396,304.82886,10.704674,3568.857606,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,8,3,"Success",0.04934,6.617214,5.390307,573.824198,1463.656672,1207.129417,311.686314,10.776774,3579.136196,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,9,3,"Success",0.04988,6.545153,5.371727,570.690582,1470.857628,1214.338992,308.78538,10.732154,3587.377256,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,10,3,"Success",0.049461,6.549373,5.346147,569.479656,1466.072283,1239.474539,304.787579,10.747614,3602.512132,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,11,3,"Success",0.04942,6.553253,5.367027,575.245505,1449.069137,1139.205172,309.00236,11.125556,3495.62265,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,12,3,"Success",0.049701,6.533213,5.390067,567.844127,1427.91759,1119.478032,307.04537,10.750995,3445.014635,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,13,3,"Success",0.076121,6.523592,5.365228,569.122933,1453.472478,1134.651009,307.05811,11.452718,3487.727589,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,14,3,"Success",0.05098,6.533433,5.403988,569.567615,1452.201312,1139.209151,307.02205,10.861315,3490.855744,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,15,3,"Success",0.0498,6.586654,5.350947,569.748796,1699.271278,1135.521412,308.89422,11.218416,3736.647583,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,16,3,"Success",0.049761,6.563353,5.354707,571.521445,1428.38049,1147.683913,307.133311,10.845174,3477.538014,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,17,3,"Success",0.04972,6.515833,5.387867,569.245234,1428.54473,1129.489521,307.260291,11.591539,3458.090435,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,18,3,"Success",0.04978,6.578893,5.351187,570.411839,1586.631908,1153.623243,309.300361,10.779274,3642.732445,4295229440,0,2147483648,0,0
