; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733455,"CurrentTimeLocal","Thu Sep 10 12:24:15 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000126
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000648,0.021556,0.020416,0.00026,0.04294,0.014353,0.000549,0.000994,0.102027,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000577,0.021392,0.020202,0.000248,0.044628,0.014081,0.000557,0.000971,0.102971,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000533,0.021015,0.020441,0.000252,0.044998,0.014202,0.000559,0.000969,0.103273,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000581,0.02096,0.020267,0.00025,0.045205,0.013837,0.000539,0.001004,0.102959,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000582,0.020935,0.020169,0.000258,0.045032,0.014048,0.000551,0.000998,0.102894,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000574,0.020906,0.02013,0.000246,0.045245,0.014699,0.00056,0.00099,0.103668,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000589,0.020752,0.020175,0.000246,0.045733,0.014148,0.000545,0.001002,0.103516,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000613,0.020919,0.020023,0.000246,0.045858,0.014621,0.000551,0.001053,0.104207,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000631,0.020792,0.020111,0.000246,0.045766,0.014318,0.000551,0.000949,0.103687,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000584,0.020884,0.020138,0.000258,0.044592,0.013906,0.000572,0.000944,0.102198,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000625,0.020753,0.020003,0.000248,0.045459,0.01475,0.000554,0.000972,0.103677,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000592,0.020738,0.019952,0.000267,0.045899,0.014041,0.000547,0.000961,0.103305,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000576,0.021199,0.020142,0.000242,0.038553,0.014523,0.000574,0.000914,0.097041,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000572,0.020679,0.019951,0.000244,0.045641,0.014084,0.000551,0.00101,0.103043,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000533,0.020898,0.020112,0.000246,0.045481,0.014175,0.000557,0.000969,0.103295,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.000568,0.020865,0.019929,0.000242,0.046319,0.01373,0.000551,0.000969,0.103487,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000572,0.020829,0.019909,0.00025,0.045227,0.014793,0.000549,0.000998,0.103439,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000551,0.020815,0.020003,0.000254,0.045965,0.014273,0.000613,0.001002,0.103797,8000,0,8000,1.259036215e-16,0
