; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.2e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000616,0.005529,0.004856,0.000147,0.001615,0.00151,0.000142,0.000621,0.032716,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000611,0.005449,0.004727,0.000174,0.001604,0.001524,0.000151,0.000601,0.03205,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000625,0.005333,0.004773,0.000148,0.001619,0.001492,0.000147,0.000627,0.03202,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000633,0.005303,0.004843,0.000169,0.001592,0.001487,0.000152,0.000607,0.031997,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000641,0.005287,0.004824,0.000167,0.001606,0.001447,0.000155,0.000642,0.032067,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000304,0.007645,0.006096,0.000287,0.00416,0.002049,0.000209,0.00059,0.039287,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000737,0.006504,0.005711,0.000209,0.002191,0.001992,0.000203,0.000648,0.035723,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000697,0.006388,0.005656,0.000226,0.002113,0.001951,0.000188,0.000629,0.035095,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000685,0.006042,0.00547,0.000207,0.002117,0.00199,0.000185,0.000588,0.034655,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000674,0.005971,0.005314,0.00022,0.002076,0.002009,0.000185,0.000664,0.034472,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000702,0.005912,0.00543,0.000216,0.002084,0.001996,0.000189,0.000616,0.036851,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000662,0.005894,0.005402,0.000204,0.002128,0.001892,0.000189,0.0006,0.034153,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000621,0.005906,0.005301,0.000207,0.002047,0.002013,0.000187,0.00061,0.034196,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.00065,0.006033,0.005271,0.000205,0.002121,0.001914,0.000187,0.000623,0.034264,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000662,0.005927,0.005303,0.000205,0.002123,0.001933,0.00019,0.000633,0.034108,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000644,0.005771,0.005136,0.000207,0.002129,0.002,0.000187,0.00068,0.03401,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000623,0.005863,0.005369,0.000203,0.002208,0.002033,0.00019,0.000621,0.034419,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000691,0.005972,0.005268,0.000207,0.002246,0.001994,0.00018,0.000601,0.034366,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000599,0.005855,0.005211,0.000203,0.002136,0.002008,0.000186,0.000617,0.033975,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000652,0.005764,0.00523,0.000203,0.00218,0.00198,0.000187,0.00062,0.034485,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000646,0.005966,0.005297,0.000209,0.002113,0.001955,0.000191,0.000608,0.034208,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000674,0.005904,0.005132,0.000199,0.002104,0.00201,0.000193,0.000592,0.033971,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.000646,0.005906,0.005183,0.000199,0.00206,0.001894,0.000187,0.000655,0.03386,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.00067,0.006062,0.005268,0.000225,0.002084,0.001934,0.000186,0.000611,0.034215,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000695,0.005861,0.005223,0.000199,0.002086,0.002,0.000197,0.00065,0.034086,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000285,0.008904,0.008931,0.000306,0.004672,0.002597,0.00024,0.001143,0.044975,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000283,0.007191,0.006455,0.000246,0.002674,0.002598,0.00025,0.00102,0.038112,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000234,0.006666,0.006207,0.000275,0.002695,0.002526,0.000222,0.001078,0.037245,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000234,0.006582,0.00582,0.00026,0.002703,0.002584,0.000231,0.001002,0.036604,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000228,0.006648,0.005756,0.000263,0.002608,0.002574,0.00023,0.001004,0.03715,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000236,0.00657,0.005798,0.000244,0.002679,0.002578,0.000232,0.001052,0.03667,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000215,0.006535,0.005865,0.000265,0.00272,0.002561,0.00023,0.00102,0.036667,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000235,0.006557,0.005712,0.000254,0.002689,0.002518,0.000231,0.001,0.036583,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000224,0.006523,0.005568,0.00025,0.002703,0.002531,0.000235,0.001039,0.036298,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000213,0.006472,0.00559,0.00025,0.002707,0.002529,0.000233,0.00098,0.036188,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000217,0.006341,0.005685,0.000258,0.002705,0.002459,0.00023,0.000962,0.03622,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000221,0.00644,0.005621,0.000258,0.002686,0.002606,0.000228,0.00103,0.036251,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000223,0.006469,0.005736,0.000246,0.002656,0.00251,0.000226,0.000998,0.036342,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000223,0.006303,0.005648,0.000248,0.002723,0.002609,0.000236,0.001062,0.037005,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000232,0.006354,0.005643,0.000239,0.002728,0.002506,0.000226,0.001063,0.036342,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.00024,0.006286,0.005636,0.000248,0.002757,0.002509,0.000232,0.00102,0.036188,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000217,0.006522,0.005715,0.000239,0.002649,0.002543,0.000228,0.001037,0.036252,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000217,0.006392,0.005652,0.000246,0.002723,0.002594,0.000233,0.001039,0.03628,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000231,0.006232,0.005717,0.000248,0.002707,0.002502,0.000238,0.000988,0.036151,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000231,0.006242,0.005662,0.000238,0.002688,0.002525,0.000223,0.000979,0.035919,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000271,0.039844,0.023601,0.000332,14.395317,0.01646,0.000594,0.001231,14.49879,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.00065,0.025938,0.023362,0.000371,0.021691,0.015726,0.000584,0.001029,0.108019,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000645,0.024288,0.022964,0.000283,0.033129,0.015818,0.00059,0.001104,0.117058,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000647,0.023865,0.022394,0.000306,0.033987,0.015464,0.000633,0.001018,0.117213,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000603,0.024212,0.022432,0.000316,0.034292,0.016673,0.000592,0.0011,0.118299,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000627,0.023608,0.022625,0.0003,0.035769,0.015642,0.000578,0.001012,0.118162,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.0006,0.023934,0.022505,0.00033,0.033733,0.015921,0.000607,0.000971,0.116625,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000558,0.023611,0.022399,0.000295,0.03453,0.015893,0.000604,0.000941,0.116679,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000555,0.023841,0.022417,0.000343,0.034655,0.015007,0.000592,0.000901,0.116248,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000608,0.023771,0.022405,0.00031,0.036735,0.01622,0.000627,0.000886,0.119246,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000554,0.023542,0.022374,0.000317,0.036485,0.015119,0.000594,0.000869,0.117598,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000615,0.02363,0.022308,0.000348,0.028616,0.01521,0.000588,0.000973,0.110434,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000563,0.023579,0.022322,0.000309,0.035766,0.015576,0.000592,0.001006,0.118199,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.00059,0.030094,0.022567,0.000342,0.035596,0.01575,0.000595,0.000986,0.124967,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.00059,0.023658,0.022368,0.000295,0.035585,0.015773,0.000607,0.000967,0.117851,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000636,0.023666,0.022542,0.00033,0.03712,0.015378,0.000588,0.000987,0.119146,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000554,0.023404,0.022433,0.000301,0.037128,0.015774,0.000582,0.000984,0.118898,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.000588,0.023655,0.022365,0.000314,0.036708,0.015389,0.000607,0.000975,0.118312,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000605,0.023285,0.022236,0.000309,0.036325,0.016378,0.000595,0.000907,0.118426,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000551,0.023534,0.022261,0.000313,0.036434,0.015652,0.000588,0.000996,0.118196,8000,0,8000,1.259036215e-16,0
