; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161862,"CurrentTimeLocal","Tue Sep 15 11:24:22 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000574,0.00539,0.004486,0.000177,0.001879,0.00167,0.00016,0.000566,0.015232,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000578,0.005249,0.004672,0.000174,0.001893,0.00168,0.00016,0.000531,0.015265,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000584,0.00524,0.004548,0.000183,0.001879,0.001684,0.000162,0.000535,0.01514,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000586,0.005225,0.004488,0.000184,0.001873,0.001681,0.000162,0.000533,0.015062,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000592,0.005201,0.004463,0.000181,0.001916,0.00165,0.000158,0.000537,0.015028,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.000582,0.005286,0.004535,0.000187,0.001856,0.001722,0.000189,0.000527,0.015209,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000584,0.00526,0.004482,0.000175,0.00194,0.001691,0.000162,0.000529,0.01515,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000599,0.005246,0.004639,0.000168,0.001934,0.001705,0.000162,0.000535,0.015317,4800,0,4800,1.5312351275e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000248,0.00823,0.006099,0.000232,0.004236,0.002453,0.000189,0.001018,0.023044,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000276,0.006494,0.005595,0.000226,0.002442,0.00239,0.00019,0.000935,0.018875,6400,0,6400,1.3113217874e-16,0
