; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161342,"CurrentTimeLocal","Tue Sep 15 11:15:42 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.017989,0.135726,0.124133,20.085509,24.695872,24.484638,10.628175,1.526402,81.699596,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.017935,0.135825,0.124527,20.093532,24.685179,24.505109,10.657839,1.510735,81.731805,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.019761,0.217049,0.188864,79.998544,96.413553,94.714748,41.313397,5.434132,318.301377,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.018937,0.181855,0.191985,79.822533,96.186313,94.680052,41.343241,5.35236,317.778389,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.015036,0.201683,0.193137,79.757527,97.312479,94.304798,41.37407,5.303175,318.463004,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.014839,0.201294,0.193577,79.879382,96.588042,95.050205,41.39657,5.320159,318.64542,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.014218,0.196131,0.189153,79.792259,97.942968,94.847683,41.366655,5.326591,319.676718,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.015275,0.202655,0.19272,79.912891,97.261786,95.687388,41.412405,5.294325,319.980402,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.015257,0.201261,0.19127,79.867113,96.258135,94.732601,41.480013,5.352405,318.098875,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.014771,0.204721,0.189892,79.872011,96.180531,94.977235,41.479967,5.325066,318.245264,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.01572,0.202475,0.193013,79.748459,97.529501,95.06702,41.452466,5.312556,319.522828,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.015007,0.198507,0.191927,80.022498,97.982394,95.347412,41.461604,5.330445,320.550662,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.015636,0.198725,0.192011,79.989928,97.404343,93.687963,41.448236,5.295291,318.233034,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.020228,0.199535,0.189679,79.881316,96.54253,93.711437,41.461971,5.197706,317.205121,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.015703,0.198973,0.192806,79.917465,97.564926,93.975584,41.449286,5.32132,318.636934,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.015021,0.201938,0.192233,80.066854,95.571516,93.963656,41.424182,5.335445,316.772091,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.015759,0.201717,0.192493,80.026752,97.303037,93.920495,41.44779,5.772265,318.881958,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.015773,0.202225,0.193762,80.025904,95.139649,93.206238,41.156215,5.482126,315.422698,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.016072,0.197209,0.191493,79.209647,95.972537,94.339172,41.47993,5.335384,316.742235,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.01478,0.198235,0.189934,79.270137,96.835912,94.858884,41.118757,5.215916,317.703328,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.015499,0.198907,0.189716,79.196221,96.015493,93.516567,41.064718,5.25251,315.450507,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.015538,0.199991,0.189223,79.219006,96.116072,94.430753,41.091371,5.264504,316.527236,1073872896,0,536870912,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.015924,0.260576,0.244626,317.643907,397.279528,383.065873,171.509372,20.388783,1290.409519,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.020005,0.229025,0.254946,317.626003,358.489237,382.697431,175.086466,20.542037,1254.94604,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.018827,0.298642,0.289827,330.715619,347.97518,385.34239,174.710101,24.441987,1263.793592,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.019519,0.293812,0.289502,330.13384,341.091959,385.11266,174.963475,24.812005,1256.718594,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.01631,0.261952,0.25543,322.517675,274.484038,383.671827,176.154695,20.788393,1178.151338,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.021261,0.260778,0.254991,319.689105,387.384368,384.860845,174.71236,20.551291,1287.736361,4295229440,0,2147483648,2.7755575667e-17,0
