; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161343,"CurrentTimeLocal","Tue Sep 15 11:15:43 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8e-05
; "Time_ContextDestroy [ms]", 0.000209
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,15,3,"Success",0.016464,0.263975,0.258456,319.263082,278.147992,382.065209,172.266605,20.612246,1173.012237,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,16,3,"Success",0.01698,0.264082,0.258202,319.180553,260.082875,408.849025,172.239474,20.617088,1181.62404,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,17,3,"Success",0.017566,0.263579,0.258178,319.016165,279.558612,381.654812,172.193471,20.627361,1173.704718,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,18,3,"Success",0.017068,0.265111,0.25995,319.120226,260.107366,381.528438,172.197916,20.663323,1154.274969,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",16384,16384,0,19,3,"Success",0.017097,0.268851,0.258487,319.097148,259.707572,381.956882,172.229751,20.610262,1154.262221,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",32768,32768,0,0,4,"Success",0.017605,0.510923,0.494541,1264.001794,1548.072934,2200.68448,665.53141,78.075145,5757.506764,17180393472,0,8589934592,2.7755575629e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",32768,32768,0,1,4,"Success",0.016929,0.439099,0.424553,1245.690458,1670.535406,2039.242123,688.326326,80.348924,5725.1486,17180393472,0,8589934592,2.7755575629e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",32768,32768,0,2,4,"Success",0.016564,0.421397,0.407942,1289.807123,2017.740915,2074.185577,687.739658,79.88188,6150.382235,17180393472,0,8589934592,2.7755575629e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",32768,32768,0,3,4,"Success",0.017786,0.443544,0.426258,1265.164323,1525.567452,2004.079888,687.646598,80.263802,5563.727576,17180393472,0,8589934592,2.7755575629e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",32768,32768,0,4,4,"Success",0.016919,0.439002,0.424455,1267.20204,1524.854198,2162.1843,688.748547,80.578178,5724.561821,17180393472,0,8589934592,2.7755575629e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",32768,32768,0,5,4,"Success",0.020913,0.439797,0.417888,1262.651965,1526.166522,2139.903897,670.960606,79.335701,5680.015503,17180393472,0,8589934592,2.7755575629e-17,0
