; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529481387,"CurrentTimeLocal","Wed Jun 20 09:56:27 2018","Hostname","r02n18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000114
; "Time_ContextDestroy [ms]", 5.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.020321,0.691813,0.66208,13.157418,12.019421,11.821167,2.820074,6.842821,48.03628,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.005893,0.685363,0.677812,13.070768,11.82825,11.959785,2.499838,6.811142,47.539805,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.005921,0.685675,0.68169,13.064056,11.722124,11.709514,2.771599,6.785405,47.426927,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.005554,0.709485,0.671119,13.045742,11.641976,11.612216,2.678137,6.789391,47.154761,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.00545,0.683852,0.680516,13.048327,11.669196,11.65568,2.750174,6.824122,47.318168,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.00565,0.704362,0.671871,13.016657,11.713031,11.704777,2.811568,6.823815,47.452543,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.005748,0.705634,0.654555,13.019285,11.986175,11.75921,2.823549,6.806389,47.761235,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.005179,0.707614,0.660972,13.014313,11.752226,11.670766,2.786452,6.827349,47.425772,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.005678,0.684937,0.677663,13.004005,11.743088,11.709314,2.541302,6.846544,47.213392,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.005705,0.705248,0.669618,13.029513,11.864897,11.545172,2.82127,6.827965,47.470362,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.005471,0.702584,0.655889,13.033448,11.70315,11.888865,2.757761,6.83335,47.581336,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000357,0.00241,0.000905,9e-05,0.000182,0.000141,5.1e-05,0.00117,0.005628,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000364,0.002426,0.000874,9.1e-05,0.000189,0.000144,5.6e-05,0.001165,0.005616,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000361,0.002387,0.00089,9.2e-05,0.000184,0.000143,5.1e-05,0.00116,0.005585,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000356,0.002434,0.000882,9.2e-05,0.000188,0.000143,5.2e-05,0.001171,0.005635,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000354,0.002408,0.000882,8.8e-05,0.000182,0.000146,5.2e-05,0.001161,0.005584,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000357,0.002394,0.00088,9e-05,0.000188,0.00014,5e-05,0.001157,0.005567,32,0,32,0,0
