; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529492400,"CurrentTimeLocal","Wed Jun 20 13:00:00 2018","Hostname","r02n10","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000105
; "Time_ContextDestroy [ms]", 5.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000319,0.013399,0.002595,9.4e-05,0.016941,0.015782,0.000106,0.007499,0.057121,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.00032,0.00518,0.002507,0.0001,0.016128,0.015243,0.000112,0.006723,0.046694,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000315,0.005188,0.002646,9.3e-05,0.015441,0.013815,0.000191,0.00724,0.045315,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000311,0.00526,0.002588,9.5e-05,0.016777,0.016269,0.000197,0.006625,0.04851,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000317,0.005285,0.002547,9.4e-05,0.015308,0.014972,0.000197,0.007473,0.046584,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000298,0.005302,0.002558,9.5e-05,0.016811,0.015778,9.5e-05,0.007727,0.049053,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000373,0.006875,0.002471,0.00024,0.464617,0.01907,0.000223,0.00876,0.503192,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.0005,0.005693,0.002458,0.000229,0.035378,0.025316,0.000165,0.006918,0.077087,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000322,0.004684,0.002412,0.00015,0.01657,0.014587,9.4e-05,0.006122,0.045335,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000326,0.004562,0.002487,9.2e-05,0.016373,0.015141,0.000204,0.006968,0.046529,256,0,256,0,0
