; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000123
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.00019,0.005504,0.004757,0.000218,0.002387,0.002193,0.000183,0.000871,0.016623,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000179,0.005561,0.004793,0.000211,0.002394,0.002203,0.000187,0.000869,0.016714,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000198,0.00559,0.004843,0.000223,0.002354,0.002232,0.00019,0.000892,0.016851,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.00018,0.005549,0.004777,0.000219,0.002371,0.002178,0.00018,0.000908,0.016669,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000182,0.005515,0.004837,0.000211,0.002366,0.002185,0.000184,0.000898,0.016697,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000205,0.036692,0.021348,0.000248,37.031757,0.016183,0.000521,0.001076,37.108403,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000751,0.024721,0.021782,0.000273,0.038487,0.014716,0.00058,0.000911,0.10255,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000596,0.02263,0.021683,0.000279,0.048028,0.014435,0.000586,0.000992,0.109559,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000644,0.022835,0.021694,0.000262,0.04712,0.014876,0.000594,0.001024,0.10938,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000619,0.022621,0.021427,0.000271,0.047745,0.014516,0.000584,0.00098,0.109119,8000,0,8000,1.259036215e-16,0
