; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000597,713.607013,711.004739,0.000707,0.044225,0.06715,0.009248,0.03708,1424.778853,4800,0,4800,5.2901157036e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000675,713.75633,709.774588,0.000804,0.038049,0.055369,0.007388,0.045328,1423.680116,4800,0,4800,5.7140537989e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000623,711.530132,707.324377,0.000658,0.062773,0.058981,0.002904,0.01906,1419.001864,4800,0,4800,5.7140537989e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000567,713.900909,708.655735,0.00067,0.061947,0.045614,0.01355,0.01772,1422.702242,4800,0,4800,5.7140537989e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000547,712.813395,710.030794,0.000691,0.0477,0.056256,0.010929,0.027961,1422.992063,4800,0,4800,5.5978306515e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.00064,712.861654,709.167468,0.000642,0.048999,0.058709,0.011433,0.032706,1422.190268,4800,0,4800,5.2928251136e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000605,713.670431,708.520626,0.000695,0.045358,0.061991,0.004943,0.032942,1422.342364,4800,0,4800,5.4699758664e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000602,709.852356,710.790354,0.000674,0.044076,0.054535,0.011554,0.041412,1420.797803,4800,0,4800,5.4699758664e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000596,814.488727,808.440988,0.00085,0.034238,0.06098,0.011109,0.019997,1623.073705,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000617,812.849099,809.16802,0.00084,0.04584,0.057031,0.020088,0.020788,1622.167368,6400,0,6400,1.9971346004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000557,812.780445,810.227701,0.000795,0.040702,0.072144,0.001107,0.02693,1623.151389,6400,0,6400,2.4468890636e-17,0
