; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474337,"CurrentTimeLocal","Mon Sep  7 12:25:37 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000117
; "Time_ContextDestroy [ms]", 7.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.012031,23.778332,27.701766,0.391954,2.214215,0.481074,0.39513,1.033305,56.008463,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.011959,23.759308,27.700825,0.398223,2.814315,0.479303,0.39554,0.968809,56.528987,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.015784,23.790598,27.638103,0.392169,2.143881,0.485538,0.395113,0.965278,55.827377,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.012167,23.797758,27.704596,0.391616,2.185686,0.491559,0.413259,1.04197,56.039223,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.017962,52.630138,53.077862,0.546884,2.653586,1.033293,0.515703,1.5858,112.061896,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.011539,52.532041,53.109405,0.535853,2.658787,1.052145,0.518053,1.565244,111.983721,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.013119,52.504885,53.071252,0.567876,2.692702,1.029598,0.548417,1.570714,111.999278,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.012675,52.626448,53.134784,0.578166,2.70202,1.03193,0.516016,1.628419,112.231482,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.013736,52.384581,53.173796,0.591378,2.65228,1.027422,0.516139,1.567549,111.927447,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.013517,52.573875,53.084563,0.597306,2.746829,1.025901,0.507803,1.469989,112.020395,9585296,0,4762880,1.1168004092e-16,0
