; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503707126,"CurrentTimeLocal","Sat Aug 26 02:25:26 2017","Hostname","taurusi5264","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00036
; "Time_ContextDestroy [ms]", 0.000251
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.006243,49199.689231,49079.285849,62.597328,270.397153,270.96389,60.964847,20.674682,98964.583426,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.006108,49548.447753,48892.950303,63.759652,289.111088,268.83228,62.04538,20.836641,99145.993228,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.00663,50268.493504,50857.977004,73.042439,262.884529,259.844145,73.9399,23.788426,101819.98026,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.006589,50775.235694,50452.153737,68.220907,270.855512,272.161233,68.877644,22.320348,101929.83552,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000351,17.264877,16.863659,0.00027,0.014928,0.013337,0.0003,0.009847,34.169463,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000347,17.33401,16.723139,0.000271,0.013299,0.011016,0.000169,0.009526,34.093473,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000387,17.266692,17.016855,0.00026,0.012416,0.011439,0.000233,0.01006,34.320124,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000465,17.015415,16.81676,0.000231,0.011356,0.013329,0.000306,0.011819,33.871252,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000405,17.261903,16.64333,0.000225,0.013363,0.011695,0.000185,0.009087,33.941817,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000357,17.260468,16.673708,0.000254,0.012996,0.011307,0.000281,0.009907,33.971038,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000351,17.332077,16.797873,0.000251,0.01302,0.011615,0.000296,0.009137,34.166391,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.000455,17.267051,16.907682,0.000245,0.012992,0.013646,0.000177,0.01102,34.214713,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000353,17.35409,16.701802,0.000228,0.012667,0.014696,0.000285,0.01303,34.098807,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000417,17.065822,16.682716,0.000217,0.013802,0.011527,0.000168,0.009653,33.785833,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.000359,17.085092,16.891153,0.000265,0.013245,0.011453,0.000172,0.01037,34.013526,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000419,17.123803,16.708509,0.000241,0.015117,0.012391,0.000321,0.008687,33.871072,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000437,15.842005,15.589394,0.000251,0.01555,0.011639,0.000315,0.015552,31.477047,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000367,15.726121,15.550265,0.000249,0.01649,0.011599,0.000321,0.016285,31.323409,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000351,15.877554,15.637093,0.000231,0.0145,0.009957,0.000333,0.017825,31.559537,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000441,15.813147,15.579959,0.000263,0.014606,0.011482,0.000186,0.01651,31.438284,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000393,15.887379,15.530592,0.000247,0.012191,0.01109,0.000293,0.01731,31.461382,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000421,15.927807,15.611912,0.000227,0.012126,0.011314,0.000173,0.018405,31.583801,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000391,15.893547,15.488805,0.000232,0.01403,0.011505,0.000309,0.017614,31.428395,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000395,15.9398,15.572388,0.00024,0.012831,0.011885,0.000309,0.014927,31.554503,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000381,15.914889,15.554041,0.000244,0.015468,0.014636,0.000185,0.019373,31.520826,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000409,15.928685,15.581202,0.000247,0.012339,0.011698,0.000305,0.014328,31.55107,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000375,15.944105,15.601353,0.000252,0.012556,0.012535,0.000453,0.018086,31.591477,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000367,15.861763,15.536591,0.000244,0.013082,0.011536,0.000186,0.018775,31.444306,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000429,20.247004,19.698686,0.000265,0.028059,0.023881,0.000437,0.024894,40.025545,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000415,20.078533,19.96618,0.000254,0.027123,0.026748,0.000457,0.023787,40.12539,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000395,20.111032,19.763453,0.000256,0.028225,0.0236,0.000439,0.021808,39.951067,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000397,20.022102,19.84964,0.000256,0.029806,0.023775,0.000395,0.026219,39.954347,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000409,20.25077,19.767783,0.000261,0.026277,0.0269,0.000447,0.020805,40.095459,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000447,20.354112,19.842644,0.000248,0.040518,0.025842,0.000315,0.023861,40.28964,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.000377,19.871533,19.730259,0.000255,0.028759,0.025917,0.000301,0.025652,39.684679,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.000439,20.236192,19.564135,0.00026,0.023989,0.023547,0.000307,0.025151,39.876015,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.00035,20.105166,19.749284,0.000261,0.027119,0.023841,0.000301,0.026066,39.934239,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000421,19.879433,19.796284,0.000259,0.030784,0.025195,0.000296,0.023963,39.758496,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000417,20.207655,19.687449,0.000257,0.024998,0.024392,0.000305,0.026698,39.974139,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000519,20.008355,19.785513,0.00026,0.028073,0.025274,0.000423,0.02642,39.876653,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.000409,23.279159,23.094315,0.000307,0.029224,0.02649,0.000567,0.0347,46.467085,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000445,23.177914,23.080515,0.000321,0.029194,0.02657,0.000459,0.033842,46.35123,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000423,23.201101,22.723922,0.000313,0.032712,0.028969,0.000594,0.030978,46.021095,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000373,23.037461,22.833297,0.000309,0.03008,0.029334,0.0006,0.0291,45.962565,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000389,23.198033,23.092463,0.000339,0.030377,0.025963,0.000483,0.027914,46.377522,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000469,23.071614,22.759666,0.000291,0.031056,0.03038,0.000423,0.027205,45.923084,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000427,23.217033,23.14527,0.000307,0.034015,0.028099,0.000547,0.03192,46.459798,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000368,23.049139,22.757302,0.00034,0.031457,0.026267,0.000537,0.027766,45.895037,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000388,23.342665,22.81237,0.000409,0.029769,0.02416,0.000603,0.029621,46.241863,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000435,23.134863,22.980614,0.000389,0.026321,0.025543,0.000377,0.029805,46.200025,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000537,23.380312,22.684501,0.000312,0.03094,0.027845,0.000542,0.030671,46.157437,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000351,23.276839,23.182263,0.000323,0.030226,0.024705,0.000561,0.031187,46.548397,512,0,512,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.000607,27.411777,26.334113,0.000371,0.032438,0.028414,0.000733,0.037383,53.847562,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.000655,27.406525,26.305153,0.000391,0.028813,0.02729,0.000669,0.039103,53.810368,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.000596,27.4684,26.367048,0.000359,0.031124,0.025768,0.000635,0.0388,53.934493,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.000615,27.351626,26.351251,0.000376,0.029288,0.027448,0.000754,0.042156,53.805406,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.000683,27.443786,26.362191,0.000383,0.030489,0.027299,0.000637,0.039048,53.906447,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000608,27.449483,26.336061,0.000381,0.028855,0.028476,0.000489,0.038173,53.88423,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000609,27.369474,26.341357,0.000395,0.032164,0.026916,0.0007,0.042188,53.815799,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000573,27.437926,26.262199,0.000371,0.031439,0.027876,0.000545,0.039962,53.802693,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.000574,27.474187,26.369007,0.000373,0.031343,0.026828,0.000592,0.038159,53.942895,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.000603,27.317307,26.358237,0.000381,0.030072,0.028424,0.000646,0.041025,53.778482,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.000556,27.403631,26.310655,0.000369,0.030222,0.027329,0.000703,0.040658,53.815751,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.00058,27.475957,26.345913,0.000385,0.028965,0.027329,0.000563,0.037597,53.919004,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.000597,38.258742,37.371814,0.000471,0.116959,0.02931,0.000864,0.054782,75.835262,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.000533,38.368088,37.365688,0.000417,0.032236,0.030559,0.000762,0.057403,75.857689,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.000599,38.399974,37.36397,0.000457,0.034588,0.029296,0.000892,0.061988,75.893551,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.000613,38.345059,37.443031,0.000463,0.032055,0.03032,0.000942,0.057261,75.91169,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.000605,38.329727,37.272749,0.000449,0.03193,0.027965,0.000848,0.056336,75.72246,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.000604,38.365103,37.385283,0.000453,0.035544,0.028747,0.000898,0.059165,75.877629,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.000615,38.40644,37.44376,0.000469,0.03212,0.03116,0.000846,0.075107,75.992305,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Success",0.000699,38.524243,37.397553,0.000472,0.034258,0.030003,0.000968,0.057261,76.047603,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,8,5,"Success",0.000623,38.353845,37.225957,0.000467,0.110867,0.034189,0.000964,0.058903,75.787564,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,9,5,"Success",0.00065,38.33482,37.332888,0.000446,0.032758,0.027979,0.000908,0.053063,75.785269,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,10,5,"Success",0.000561,38.35081,37.379935,0.000456,0.035178,0.030533,0.00088,0.059623,75.85978,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,11,5,"Success",0.000545,38.298225,37.289896,0.000465,0.033514,0.029222,0.000796,0.058787,75.713362,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,0,6,"Warmup",0.000581,37.721145,37.168816,0.00078,0.036281,0.032578,0.001181,0.039368,75.002465,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,1,6,"Warmup",0.000539,37.686372,37.173824,0.000868,0.033736,0.032102,0.001243,0.039131,74.969448,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,2,6,"Success",0.000587,37.807642,37.175878,0.000639,0.032204,0.033778,0.001224,0.042502,75.096104,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,3,6,"Success",0.000606,37.735418,37.187456,0.000778,0.034637,0.032388,0.001213,0.039937,75.03424,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,4,6,"Success",0.000699,37.635346,37.219101,0.000794,0.033981,0.030629,0.001471,0.038552,74.962331,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,5,6,"Success",0.000574,37.66016,37.273785,0.000675,0.033173,0.032642,0.001404,0.040125,75.044198,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,6,6,"Success",0.000529,37.726245,37.060647,0.000735,0.032694,0.032486,0.001279,0.041374,74.897863,4096,0,4096,0,0
