; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503504843,"CurrentTimeLocal","Wed Aug 23 18:14:03 2017","Hostname","taurusi4036","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 0.000168
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,9,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,10,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,11,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,0,2,"Warmup",0.001034,0.026446,0.018998,0.000244,0.000545,0.000335,0.000179,0.001081,0.050243,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,1,2,"Warmup",0.000637,0.027494,0.018774,0.000245,0.000585,0.000308,0.00018,0.001017,0.050668,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,2,2,"Success",0.000625,0.026876,0.018693,0.000263,0.000473,0.000323,0.000178,0.000984,0.049872,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,3,2,"Success",0.00068,0.027342,0.018703,0.000252,0.000565,0.000305,0.000181,0.001079,0.050517,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,4,2,"Success",0.000753,0.026572,0.0181,0.000253,0.000489,0.00029,0.000178,0.001,0.04899,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,5,2,"Success",0.000513,0.026167,0.018188,0.000247,0.000477,0.0003,0.000182,0.000969,0.048373,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,6,2,"Success",0.000628,0.026035,0.018393,0.000247,0.000453,0.000317,0.000177,0.000988,0.048549,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,7,2,"Success",0.000696,0.027314,0.018762,0.00025,0.000569,0.000309,0.000183,0.001105,0.050575,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,8,2,"Success",0.000479,0.0268,0.018787,0.000234,0.000523,0.000323,0.000177,0.00097,0.049696,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,9,2,"Success",0.000612,0.026159,0.018563,0.000216,0.000429,0.000264,0.000162,0.001001,0.048695,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,10,2,"Success",0.000563,0.026054,0.023497,0.000234,0.000509,0.000301,0.000179,0.00095,0.05364,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,11,2,"Success",0.000652,0.027179,0.018539,0.000243,0.000561,0.000327,0.000178,0.001038,0.050148,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,0,3,"fftw forward plan could not be created as wisdom is not available for this problem.",0.00104,0,0,0,0,0,0,0,0,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,1,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,2,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,3,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,4,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,5,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,6,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,7,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,8,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,9,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,10,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
