; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503524577,"CurrentTimeLocal","Wed Aug 23 23:42:57 2017","Hostname","taurusi5408","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000361
; "Time_ContextDestroy [ms]", 0.000156
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.000497,0.912037,0.857028,0.000325,0.044094,0.039576,0.000669,0.064918,1.920989,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.00054,0.881214,0.852148,0.000323,0.039009,0.037648,0.000467,0.065345,1.878837,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000489,0.867712,0.854175,0.000301,0.043494,0.035172,0.000451,0.07976,1.883693,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000513,0.870908,0.870431,0.000361,0.052074,0.036263,0.000535,0.063172,1.896184,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000586,0.873897,0.85547,0.00027,0.043115,0.03431,0.000575,0.065186,1.875513,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.000475,0.89926,0.862168,0.000267,0.046321,0.036914,0.000549,0.061877,1.914743,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.000515,0.87265,0.851526,0.000403,0.051022,0.032937,0.000736,0.064708,1.876682,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.000523,0.88486,0.852518,0.000369,0.043664,0.037566,0.000593,0.066792,1.889032,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.000714,0.876573,0.859058,0.000447,0.061593,0.037723,0.000543,0.062713,1.901285,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.000485,1.222368,1.217139,0.000455,0.133783,0.049101,0.001229,0.086106,2.71259,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.000523,1.237002,1.206386,0.000407,0.099381,0.038338,0.000916,0.086679,2.671737,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.000501,1.242073,1.200402,0.000435,0.127099,0.042141,0.000926,0.089648,2.705285,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.000457,1.220661,1.195003,0.000425,0.14089,0.039789,0.000938,0.087717,2.687964,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.000505,1.268105,1.192887,0.000431,0.078346,0.038107,0.001097,0.086823,2.668292,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.000546,1.228377,1.196316,0.000448,0.086442,0.042267,0.000936,0.090869,2.648179,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.000497,1.214731,1.196933,0.000455,0.101422,0.038099,0.000784,0.093722,2.648742,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Success",0.000572,1.210622,1.212145,0.000391,0.100369,0.039451,0.000924,0.092898,2.659417,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,8,5,"Success",0.000563,1.21603,1.203449,0.000441,0.089185,0.043218,0.000881,0.090614,2.646512,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,9,5,"Success",0.000509,1.227231,1.198164,0.000479,0.090458,0.043361,0.000732,0.088973,2.651988,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,10,5,"Success",0.000505,1.232366,1.196757,0.000402,0.098244,0.049291,0.000902,0.087635,2.674456,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,11,5,"Success",0.000558,1.229494,1.194209,0.000417,0.094216,0.03937,0.000842,0.091207,2.652277,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,0,6,"Warmup",0.000514,1.066183,1.036239,0.000731,0.076487,0.033683,0.001231,0.077082,2.294014,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,1,6,"Warmup",0.000574,1.098148,1.040979,0.000675,0.088595,0.033152,0.001121,0.077806,2.343364,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,2,6,"Success",0.000516,1.078809,1.035309,0.008901,0.092767,0.033785,0.001496,0.077107,2.330721,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,3,6,"Success",0.000421,1.057195,1.038086,0.000628,0.095835,0.033395,0.001365,0.074527,2.303494,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,4,6,"Success",0.000546,1.161962,1.131432,0.000714,0.079837,0.037095,0.001096,0.081003,2.49575,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,5,6,"Success",0.000491,1.056501,1.052745,0.000651,0.082898,0.037955,0.001411,0.077652,2.312449,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,6,6,"Success",0.00058,1.056664,1.033561,0.000731,0.07698,0.032891,0.000988,0.078079,2.282544,4096,0,4096,0,0
