; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",15964327936,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534882441,"CurrentTimeLocal","Tue Aug 21 23:14:01 2018","Hostname","teegema","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000186
; "Time_ContextDestroy [ms]", 7.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000676,0.422285,0.276046,7.4e-05,9.3e-05,6.3e-05,4.4e-05,0.0005,0.700209,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000603,0.414236,0.286079,7.3e-05,9.1e-05,6.1e-05,4.3e-05,0.00046,0.70204,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000643,0.41512,0.275712,7e-05,9.8e-05,6e-05,4.3e-05,0.000398,0.692582,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000741,0.435868,0.290264,0.00015,0.000201,0.000143,0.000236,0.000629,0.728637,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000438,0.426135,0.2702,8.2e-05,0.000134,9.5e-05,5.8e-05,0.000472,0.698022,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000368,0.444902,0.270662,7.2e-05,0.000156,0.000117,6.2e-05,0.000481,0.717218,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000374,0.423811,0.267246,6.9e-05,0.000129,9.9e-05,5.8e-05,0.0005,0.692683,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000357,0.410003,0.272116,7.4e-05,0.000127,9.6e-05,0.000122,0.000465,0.683756,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000354,0.426452,0.265591,7.5e-05,0.000114,9.3e-05,6.2e-05,0.000473,0.693607,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000354,0.429216,0.265654,7.3e-05,0.000121,0.0001,6.3e-05,0.000505,0.696604,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000353,0.425673,0.271207,8.1e-05,0.00014,0.000113,6.3e-05,0.000549,0.698614,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000354,0.423788,0.268776,8.1e-05,0.000138,0.000112,0.000119,0.000514,0.694339,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.00038,0.431761,0.26793,7.7e-05,0.000128,0.000108,5.8e-05,0.000475,0.701364,128,0,128,0,0
