; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161880,"CurrentTimeLocal","Tue Sep 15 11:24:40 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000191
; "Time_ContextDestroy [ms]", 7.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.00424,13.909761,16.451357,0.292861,4.863889,5.457959,0.14715,0.187352,41.315029,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.005359,14.640599,17.048463,0.176083,1.146736,0.434287,0.144071,0.147376,33.74342,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.000197,14.226885,16.713241,0.1464,1.291317,0.43674,0.14362,0.146225,33.105095,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.000211,14.029456,16.132714,0.14585,5.882977,5.093281,0.144889,0.14633,41.576149,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.000199,14.130264,16.641975,0.15807,4.969471,0.429599,0.144192,0.13914,36.613341,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.000186,14.272147,17.039092,0.161853,2.562835,0.436576,0.144138,0.147102,34.764354,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.000244,14.485553,17.025995,0.158365,2.645473,0.433684,0.14499,0.149827,35.04458,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,1,"Success",0.000252,14.453548,17.131155,0.16259,4.021688,0.430852,0.143944,0.147991,36.492556,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,1,"Success",0.000201,14.475359,17.028587,0.161764,3.911664,0.437315,0.144669,0.14228,36.302281,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,1,"Success",0.000207,14.596911,17.108628,0.162513,1.154761,0.431094,0.144298,0.143709,33.742551,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,1,"Success",0.000233,14.543244,17.101961,0.159865,2.646082,0.43626,0.143625,0.145055,35.176757,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,1,"Success",0.000234,14.536766,17.161347,0.160957,2.651738,0.432473,0.143878,0.145783,35.233678,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,1,"Success",0.000217,14.46297,17.035133,0.161595,2.663736,0.434371,0.143376,0.14602,35.047852,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,1,"Success",0.000223,14.452723,17.028825,0.147973,2.65751,0.435005,0.143471,0.144227,35.010404,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,1,"Success",0.000203,14.466368,17.030897,0.148637,3.997465,0.432496,0.143104,0.147295,36.366907,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,1,"Success",0.000194,14.479577,17.044988,0.146798,1.174886,0.435375,0.142993,0.149169,33.57439,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,1,"Success",0.000209,14.468372,17.11891,0.149471,2.64626,0.433272,0.142749,0.147098,35.106795,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,1,"Success",0.000238,14.475918,17.005589,0.161121,2.856429,0.435205,0.14417,0.143868,35.222988,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,1,"Success",0.000186,14.129607,16.688749,0.158918,2.853026,0.43041,0.144991,0.144293,34.550615,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,1,"Success",0.000211,14.148316,16.674355,0.157965,4.548597,5.292651,0.145317,0.140319,41.108143,2612288,0,2593080,1.2252147609e-16,0
