; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161863,"CurrentTimeLocal","Tue Sep 15 11:24:23 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.00022,62.284378,61.132601,0.000196,0.005186,0.005555,0.000143,0.00608,123.434732,3200,0,3200,2.3450716605e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000254,91.011281,89.229675,0.00026,0.006757,0.006926,0.00018,0.005904,180.261625,4800,0,4800,6.6576650278e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000291,91.358013,91.166088,0.000256,0.006213,0.006241,0.000469,0.007086,182.545034,4800,0,4800,4.6498259902e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000232,91.27004,89.923428,0.000292,0.005818,0.007699,0.000209,0.006976,181.215078,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000315,90.720078,89.262469,0.000254,0.005377,0.006108,0.000461,0.007052,180.002503,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000295,91.283376,89.65838,0.000277,0.005779,0.006867,0.000191,0.007523,180.963061,4800,0,4800,7.9403317169e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000225,91.242453,91.411471,0.00036,0.006746,0.006259,0.000455,0.007363,182.675683,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000285,91.618976,89.323353,0.000263,0.005664,0.006744,0.000467,0.006661,180.962797,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000301,91.852523,90.853144,0.000256,0.006102,0.005962,0.000412,0.006828,182.725901,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.000211,91.4043,89.906896,0.00027,0.006072,0.006173,0.000444,0.006589,181.33132,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000355,91.421895,89.547331,0.000271,0.006264,0.00606,0.000441,0.007134,180.990127,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000301,91.374352,90.873094,0.000252,0.005643,0.005816,0.000471,0.007079,182.267371,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000294,92.649043,90.054251,0.000247,0.006012,0.006033,0.000461,0.006502,182.723204,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000269,92.085671,89.969951,0.000315,0.00642,0.006721,0.000209,0.007204,182.077125,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000256,90.666125,91.270345,0.00025,0.005918,0.00621,0.000487,0.007074,181.957028,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000371,91.381639,89.879019,0.00026,0.006403,0.005666,0.000414,0.00704,181.281189,4800,0,4800,5.4386764165e-17,0
