; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161582,"CurrentTimeLocal","Tue Sep 15 11:19:42 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.2e-05
; "Time_ContextDestroy [ms]", 0.000199
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.013357,4.571547,3.901005,76.133955,231.712498,177.289389,39.647773,5.062708,538.447023,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.013173,4.570073,3.841205,76.114238,223.187972,177.971346,40.255908,5.259591,531.328898,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.014308,4.363143,3.741281,74.810305,256.708507,177.834927,39.409555,4.942112,561.934447,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.013217,4.444252,3.732509,74.820868,257.078661,177.836074,40.383231,5.333602,563.756635,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.013543,4.852691,4.134612,78.204391,236.292097,177.465954,40.39281,5.34144,546.811168,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.014431,4.811365,4.114783,78.183332,222.053341,177.106875,40.291804,5.219917,531.908468,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.013167,4.482682,3.824028,75.554683,226.07935,178.240436,40.237534,5.218789,533.768071,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.012943,4.36811,3.737493,74.852639,256.144549,177.404618,39.079321,4.893225,560.61085,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.013242,4.371832,3.727957,74.806947,237.51057,187.954852,39.740462,5.029045,553.267215,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.012897,4.433277,3.732224,77.108351,251.136203,193.712062,42.405792,8.199756,580.899682,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.017789,6.872738,5.701819,85.153207,245.836848,192.377087,42.41253,8.259035,586.800129,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.017531,6.781065,5.542282,84.186551,228.869241,191.860496,40.403816,6.439265,564.264688,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.014414,4.937691,4.176702,77.09438,242.801698,177.978319,40.241618,5.257438,552.611876,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.01324,5.135574,4.257646,298.649661,670.837571,613.066409,161.08606,20.320175,1773.475941,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.014053,5.127383,4.236624,298.641552,661.864448,601.285023,161.082061,19.983217,1752.334138,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.016546,5.192082,4.264301,298.679972,649.655116,602.368579,161.062633,20.059387,1741.399612,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.014771,5.256931,4.30879,301.275918,674.40002,612.051564,158.994928,18.912481,1775.318225,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.014109,5.168733,4.239968,298.755474,687.470314,612.283396,159.408606,19.608049,1787.054507,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.0144,5.222001,4.326232,301.4777,665.901167,611.091968,160.072187,18.731664,1766.942793,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,6,3,"Success",0.014742,5.208212,4.258031,298.713825,678.386994,612.392976,161.10167,20.403709,1780.585762,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,7,3,"Success",0.015163,5.463204,4.46347,305.755066,640.664056,612.33944,157.913296,18.949215,1745.668859,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,8,3,"Success",0.018783,5.192221,4.245985,298.751751,672.640163,613.410761,161.110754,20.335012,1775.806054,4295229440,0,2147483648,1.962615577e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,9,3,"Success",0.014517,5.158942,4.23522,299.029351,665.478264,614.353719,160.730035,19.828848,1768.92981,4295229440,0,2147483648,1.962615577e-17,0
