; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000213,60.901618,61.737678,0.000187,0.006336,0.006366,0.000165,0.005556,122.683284,3200,0,3200,3.3338854402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000227,61.425167,59.883967,0.000188,0.005587,0.005336,0.000167,0.005063,121.350811,3200,0,3200,1.4636401897e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.000227,61.279747,60.182613,0.000199,0.005901,0.005646,0.000152,0.004795,121.504253,3200,0,3200,1.553357018e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.000217,61.120102,59.889055,0.000168,0.005025,0.004754,0.00015,0.005129,121.049614,3200,0,3200,1.553357018e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.000319,89.615667,88.118146,0.000281,0.005433,0.005799,0.00036,0.007138,177.778425,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.000275,89.323603,87.999737,0.000258,0.005129,0.005742,0.000432,0.006951,177.367233,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.000272,89.821143,90.22589,0.000244,0.005779,0.006039,0.000438,0.006925,180.091748,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.000258,90.820667,87.749986,0.00024,0.005752,0.005499,0.000408,0.006922,178.615037,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.000252,89.665409,87.803133,0.000246,0.005587,0.005752,0.000336,0.007478,177.513166,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.000318,89.32471,87.674704,0.000224,0.00567,0.00642,0.000229,0.006353,177.046982,4800,0,4800,6.3706220738e-17,0
