; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161580,"CurrentTimeLocal","Tue Sep 15 11:19:40 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.354206,3.617338,3.348121,50.082102,11.922072,96.597093,27.587425,1.157161,194.666882,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.357987,3.61853,3.345713,49.610094,11.916528,96.604212,27.672808,1.154613,194.281558,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.362648,3.6077,3.35453,49.13019,11.862221,98.202462,27.283712,1.169758,194.974496,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.399329,3.604886,3.353423,49.631833,11.903727,97.419126,27.308463,1.166652,194.788669,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.401775,3.602939,3.345812,49.300052,11.857954,98.979096,27.372941,1.174875,196.03684,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.408038,4.314858,3.525505,198.715033,161.742954,163.537356,111.093752,3.193556,646.532262,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.418358,4.551324,3.795091,200.756795,162.661367,163.957398,109.350991,3.070535,648.5635,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.405014,4.191434,3.487343,198.906669,162.297196,163.493844,110.421513,3.094606,646.298812,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.41874,4.197193,3.488974,197.70093,161.883797,162.778994,109.689173,3.088257,643.247061,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.406434,4.184436,3.487595,198.126508,163.631688,164.899597,107.730826,3.082425,645.550575,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.410145,4.18604,3.483736,196.795801,162.034735,163.125971,108.66243,3.080492,641.780518,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.412676,4.195764,3.4919,196.184099,163.854771,164.993556,110.36224,3.093762,646.589881,1073872896,0,536870912,2.7755575822e-17,0
