; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161943,"CurrentTimeLocal","Tue Sep 15 11:25:43 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.003664,8.98742,8.66072,0.266184,0.313407,0.188972,0.230129,0.146984,18.825106,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.003645,8.987803,8.693576,0.270244,0.311188,0.190497,0.226469,0.143739,18.854103,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.003733,8.988519,8.658411,0.267605,0.311858,0.175076,0.232063,0.146729,18.811009,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.003687,8.993012,8.807628,0.270825,0.306857,0.187094,0.226529,0.145633,18.968458,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.003738,8.991405,8.664741,0.272204,0.337116,0.174634,0.230904,0.14667,18.851959,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.003724,8.99311,8.683423,0.267814,0.308292,0.176139,0.228481,0.146512,18.834262,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.003734,8.983644,8.727458,0.268118,0.310251,0.174483,0.233692,0.145516,18.873674,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.003756,8.985951,8.684799,0.266378,0.309402,0.173873,0.234176,0.144411,18.829358,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.003743,8.983416,8.755853,0.26378,0.310421,0.175945,0.236911,0.145864,18.903141,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.003672,8.989827,8.76026,0.269666,0.29725,0.175362,0.231336,0.145121,18.902677,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.003704,8.977134,8.697869,0.267374,0.314177,0.185507,0.230012,0.146257,18.849609,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.003702,9.038195,8.751197,0.270083,0.312409,0.173838,0.232975,0.14769,18.956738,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.003679,8.988249,8.696967,0.26794,0.297804,0.173924,0.232404,0.148183,18.835863,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.003663,8.986103,8.767123,0.266965,0.31136,0.173915,0.231019,0.146227,18.913028,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.003749,9.033088,8.699182,0.267311,0.312683,0.174082,0.23464,0.146218,18.901811,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.003682,8.983739,8.704519,0.266606,0.293289,0.174337,0.224866,0.151434,18.829252,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.003714,8.992906,8.768203,0.270514,0.307102,0.175249,0.234951,0.14729,18.9268,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.008818,12.475103,12.011834,1.465091,0.404424,0.236901,0.363053,0.408301,27.401846,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.008617,12.870138,12.104866,0.424335,0.351921,0.220154,0.331142,0.19735,26.539313,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.003533,12.786838,12.145804,0.346534,0.362008,0.232828,0.318833,0.144643,26.369407,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.003548,12.633173,12.157058,0.353316,0.351787,0.218108,0.311265,0.154964,26.210691,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.003485,12.639752,12.247399,0.345308,0.371555,0.220257,0.316407,0.145681,26.317205,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.00353,12.631905,12.144038,0.352631,0.351886,0.218521,0.317558,0.145955,26.203181,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.003569,12.663105,12.226809,0.344217,0.363321,0.216851,0.309196,0.146424,26.305028,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,1,"Success",0.003595,12.640546,12.144135,0.353307,0.355787,0.219313,0.316074,0.145623,26.20559,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,1,"Success",0.003572,12.636635,12.267934,0.345431,0.364433,0.219684,0.30739,0.146774,26.319411,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,1,"Success",0.00357,12.629716,12.128331,0.351437,0.355262,0.219001,0.309155,0.145964,26.170622,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,1,"Success",0.003522,12.633467,12.222481,0.347257,0.365519,0.219142,0.303266,0.14765,26.269734,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,1,"Success",0.003549,12.624966,12.114309,0.350263,0.342549,0.217469,0.311032,0.144744,26.139763,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,1,"Success",0.003507,12.666083,12.216282,0.345219,0.368678,0.21917,0.303251,0.146981,26.297984,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,1,"Success",0.003838,12.630327,12.116356,0.353102,0.355033,0.218238,0.312241,0.14487,26.16164,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,1,"Success",0.003547,12.659182,12.211293,0.344611,0.366774,0.218881,0.299138,0.14669,26.27778,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,1,"Success",0.003595,12.629307,12.139871,0.352641,0.353496,0.217925,0.310514,0.145748,26.184007,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,1,"Success",0.003532,12.664756,12.244804,0.346473,0.363029,0.217552,0.307728,0.148811,26.324488,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,1,"Success",0.003507,12.631944,12.114846,0.351514,0.348859,0.219207,0.30997,0.144406,26.152684,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,1,"Success",0.003519,12.663089,12.21533,0.34409,0.361691,0.218857,0.301721,0.146891,26.282988,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,1,"Success",0.003533,12.623943,12.115801,0.352125,0.350349,0.218049,0.311109,0.14481,26.147685,2612288,0,2593080,1.2505218701e-16,0
